GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,2.92,3.41,1.07,2.01,3.19,3.18,3.93,2.98,2.33,1.36,7.77,2.95,2019
2,AK,Alaska,25.11,31.45,6.86,13.33,18.85,41.5,113.0,20.0,-8.0,15.2,39.08,26.5,2019
4,AZ,Arizona,6.11,6.77,2.23,3.17,6.48,7.56,7.46,7.57,5.38,1.25,14.27,2.99,2019
5,AR,Arkansas,2.45,2.87,1.03,1.46,2.69,3.62,2.44,2.3,1.43,0.99,4.36,2.24,2019
6,CA,California,8.72,9.38,3.92,5.55,9.32,9.86,9.22,9.28,7.9,2.28,23.76,3.98,2019
8,CO,Colorado,8.73,10.04,2.72,6.12,9.83,9.96,8.33,7.47,4.78,2.55,16.14,3.25,2019
9,CT,Connecticut,13.03,14.49,7.36,11.98,14.32,25.29,8.5,9.58,6.29,3.59,35.96,8.55,2019
10,DE,Delaware,4.83,6.07,1.29,3.11,5.1,5.0,4.71,6.11,10.5,1.66,13.45,5.43,2019
11,DC,"Washington, D.C.",23.01,28.09,5.47,9.35,28.98,32.8,22.47,14.11,8.67,10.04,189.72,14.03,2019
12,FL,Florida,5.34,6.04,2.8,3.17,5.73,6.63,5.71,5.58,3.55,2.18,11.64,4.57,2019
13,GA,Georgia,3.47,3.92,1.55,1.52,3.44,4.82,5.79,4.11,3.54,1.69,14.5,2.01,2019
15,HI,Hawaii,12.17,12.64,7.67,8.22,11.73,14.64,12.27,12.0,24.0,7.5,34.82,8.0,2019
16,ID,Idaho,13.23,14.83,3.6,21.25,12.92,17.86,8.43,12.0,3.0,0.0,20.1,3.45,2019
17,IL,Illinois,12.01,14.0,3.75,6.53,13.7,16.38,12.14,12.19,7.71,3.07,44.92,7.3,2019
18,IN,Indiana,6.22,7.03,2.75,4.62,7.01,5.66,8.26,6.21,4.45,1.79,12.77,2.96,2019
19,IA,Iowa,14.06,17.93,3.52,11.09,22.29,12.69,19.88,7.31,3.8,1.77,27.37,4.08,2019
20,KS,Kansas,6.78,7.99,2.22,4.52,9.51,6.27,6.42,6.4,5.5,1.03,12.72,3.5,2019
