GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,1.62,1.85,0.74,0.77,1.92,2.03,2.41,1.28,2.25,0.79,3.93,1.7,2017
2,AK,Alaska,20.76,24.71,10.5,6.67,20.64,31.75,60.0,22.33,-8.0,29.25,45.33,19.0,2017
4,AZ,Arizona,3.29,3.57,1.47,1.67,3.59,3.9,3.6,3.34,4.36,0.59,7.57,1.49,2017
5,AR,Arkansas,1.45,1.57,0.87,0.76,1.3,2.81,1.83,2.0,1.67,0.46,2.97,1.09,2017
6,CA,California,5.22,5.54,2.61,2.65,5.58,6.37,6.11,5.55,4.88,1.48,14.15,2.41,2017
8,CO,Colorado,5.24,5.42,3.44,3.28,5.93,6.99,4.4,4.76,4.0,2.38,8.86,2.05,2017
9,CT,Connecticut,5.8,6.98,2.76,5.66,7.4,7.28,3.98,4.21,2.09,2.04,15.03,2.91,2017
10,DE,Delaware,2.26,2.82,0.86,1.31,2.81,1.59,2.62,3.27,7.5,0.94,6.78,0.91,2017
11,DC,"Washington, D.C.",12.21,15.09,2.31,3.92,15.97,14.43,18.41,8.78,3.07,5.24,66.37,5.87,2017
12,FL,Florida,1.98,2.33,0.69,1.02,1.98,2.41,2.65,1.97,1.44,0.5,4.87,1.69,2017
13,GA,Georgia,1.75,2.05,0.63,0.71,1.73,2.62,2.5,1.78,1.33,0.79,6.96,1.22,2017
15,HI,Hawaii,5.69,5.82,4.33,4.18,4.41,10.27,6.0,5.25,9.0,2.75,13.59,3.33,2017
16,ID,Idaho,5.42,5.54,4.25,5.0,6.0,6.5,5.71,1.8,-8.0,2.5,6.97,1.63,2017
17,IL,Illinois,7.08,7.89,2.91,3.54,8.77,9.53,7.38,6.44,3.54,1.92,22.27,4.76,2017
18,IN,Indiana,3.03,3.36,1.76,1.99,3.46,3.6,3.41,2.29,3.13,0.96,6.64,1.46,2017
19,IA,Iowa,5.86,6.82,1.83,3.35,7.84,11.29,4.82,3.0,4.5,0.79,11.13,0.72,2017
20,KS,Kansas,4.52,5.35,1.73,1.59,5.94,6.63,6.77,12.67,3.0,0.42,10.02,1.58,2017
21,KY,Kentucky,2.1,2.41,0.74,1.33,2.28,2.73,2.19,1.42,2.17,0.92,3.06,0.55,2017
22,LA,Louisiana,2.17,2.43,1.35,1.34,2.39,2.88,2.43,2.06,1.43,0.94,6.21,1.38,2017
23,ME,Maine,9.48,10.28,4.5,11.67,6.55,13.8,10.0,10.67,8.0,2.67,11.22,5.0,2017
24,MD,Maryland,2.88,3.52,1.22,2.17,3.32,3.58,2.68,2.41,1.31,1.61,10.5,1.88,2017
25,MA,Massachusetts,8.54,10.51,2.74,8.11,9.62,8.04,8.15,7.9,4.77,2.51,17.11,3.71,2017
26,MI,Michigan,3.0,3.31,1.59,2.07,3.41,3.37,3.42,2.62,3.25,0.86,7.82,1.29,2017
27,MN,Minnesota,8.63,10.78,2.14,5.91,11.07,11.82,6.51,5.67,6.4,1.62,21.71,2.89,2017
28,MS,Mississippi,1.03,1.2,0.5,0.75,1.27,1.03,1.19,0.85,1.56,0.6,3.69,0.35,2017
29,MO,Missouri,3.49,4.02,1.3,1.89,3.41,4.56,6.11,3.79,2.09,1.0,7.44,2.14,2017
30,MT,Montana,3.7,3.61,5.5,4.0,3.75,3.11,11.0,2.0,-8.0,-8.0,4.43,2.5,2017
31,NE,Nebraska,4.0,4.46,1.87,2.95,3.91,4.05,7.25,4.5,-1.0,0.88,8.79,1.13,2017
32,NV,Nevada,1.92,2.0,1.32,1.14,1.79,2.68,2.28,1.64,2.33,0.44,3.79,1.36,2017
33,NH,New Hampshire,10.16,12.75,2.38,6.71,15.57,11.0,8.14,10.33,12.0,-9.0,14.76,2.4,2017
34,NJ,New Jersey,3.17,3.81,1.14,2.53,3.91,4.02,2.8,1.65,1.31,0.85,15.37,1.7,2017
35,NM,New Mexico,4.15,4.52,1.63,2.13,4.93,4.25,5.67,5.4,5.0,0.88,9.17,3.29,2017
36,NY,New York,8.13,9.41,3.13,5.2,10.34,10.05,6.75,4.95,4.15,3.31,32.72,3.57,2017
37,NC,North Carolina,1.95,2.21,0.86,0.96,2.15,2.53,2.8,1.79,1.61,0.83,5.97,1.02,2017
38,ND,North Dakota,2.13,2.22,1.0,1.71,1.67,7.0,1.83,1.25,-8.0,0.23,4.67,-9.0,2017
39,OH,Ohio,3.6,4.02,1.72,2.16,3.95,4.9,3.86,3.49,3.06,1.43,6.47,2.5,2017
40,OK,Oklahoma,1.76,1.88,1.2,1.27,1.78,2.26,2.04,1.59,0.5,0.71,3.47,0.62,2017
41,OR,Oregon,9.65,10.89,4.11,6.24,10.45,11.15,10.53,7.27,9.0,5.18,13.55,3.4,2017
42,PA,Pennsylvania,5.55,6.39,2.41,4.18,7.26,5.79,4.98,4.39,2.35,2.02,14.73,2.15,2017
44,RI,Rhode Island,7.28,8.45,2.38,8.27,9.92,7.5,5.33,3.91,4.0,2.19,12.56,4.0,2017
45,SC,South Carolina,1.02,1.18,0.46,0.45,1.23,1.43,1.18,0.77,0.92,0.57,2.99,0.2,2017
46,SD,South Dakota,1.58,1.77,0.89,1.17,2.07,1.78,0.6,-8.0,-8.0,-9.0,3.87,-1.0,2017
47,TN,Tennessee,2.34,2.59,1.19,1.22,2.76,3.14,3.19,1.83,1.0,1.01,4.94,1.32,2017
48,TX,Texas,2.64,2.97,1.06,1.46,2.83,3.27,3.2,2.74,2.9,0.76,9.64,1.57,2017
