GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,1552,38,Y,1412,72,Y,140,7,Y,261,34,Y,585,91,Y,305,52,Y,271,43,Y,121,18,Y,15,2,Y,450,42,Y,1046,38,Y,39,26,Y,2018
2,AK,Alaska,701,117,Y,630,200,Y,66,23,Y,87,73,Y,254,214,Y,148,157,Y,132,150,Y,62,66,Y,16,18,Y,106,520,Y,461,122,Y,77,198,Y,2018
4,AZ,Arizona,3563,59,Y,3374,114,Y,189,6,Y,444,38,Y,1378,140,Y,862,98,Y,530,62,Y,290,34,Y,63,5,Y,111,43,Y,2612,76,Y,757,44,Y,2018
5,AR,Arkansas,582,23,Y,538,44,Y,44,3,Y,103,22,Y,206,52,Y,166,45,Y,72,20,Y,28,7,Y,9,2,N,97,26,Y,443,24,Y,32,19,Y,2018
6,CA,California,34643,105,Y,32634,200,Y,1998,12,Y,3896,62,Y,13555,225,Y,8471,162,Y,5397,107,Y,2728,57,Y,556,10,Y,1427,75,Y,22014,170,Y,8140,67,Y,2018
8,CO,Colorado,3209,67,Y,3023,126,Y,184,8,Y,406,46,Y,1390,155,Y,778,100,Y,445,63,Y,166,23,Y,28,3,Y,165,87,Y,2498,74,Y,454,48,Y,2018
9,CT,Connecticut,2247,73,Y,1964,133,Y,283,18,Y,446,78,Y,843,189,Y,454,107,Y,316,64,Y,165,32,Y,24,4,Y,292,95,Y,1476,70,Y,391,85,Y,2018
10,DE,Delaware,404,49,Y,372,95,Y,32,8,Y,44,31,Y,148,115,Y,86,77,Y,63,52,Y,49,36,Y,15,8,Y,91,52,Y,268,51,Y,35,52,Y,2018
11,DC,"Washington,
D.C.",5044,838,Y,4795,1697,Y,245,77,Y,372,369,Y,2352,1434,Y,1327,1259,Y,636,841,Y,309,439,Y,61,71,Y,1543,584,Y,2971,1258,Y,400,658,Y,2018
12,FL,Florida,14529,80,Y,13423,152,Y,1103,12,Y,1493,51,Y,5055,182,Y,3475,136,Y,2743,100,Y,1405,49,Y,312,7,Y,1772,66,Y,8236,81,Y,4013,88,Y,2018
13,GA,Georgia,6187,71,Y,5701,136,Y,489,11,Y,646,37,Y,2244,153,Y,1551,113,Y,1181,84,Y,466,36,Y,87,6,Y,2038,75,Y,3661,77,Y,371,49,Y,2018
15,HI,Hawaii,638,53,Y,598,100,Y,40,7,Y,66,33,Y,204,101,Y,176,98,Y,113,66,Y,63,35,Y,19,7,Y,17,73,Y,313,113,Y,74,69,Y,2018
16,ID,Idaho,359,25,Y,339,47,Y,20,3,Y,67,23,Y,146,63,Y,82,37,Y,44,22,Y,22,10,Y,-1,-1,-9,-9,-9,-9,329,27,Y,22,14,Y,2018
17,IL,Illinois,13321,125,Y,12457,239,Y,864,16,Y,1785,89,Y,5759,326,Y,3170,194,Y,1748,107,Y,735,44,Y,138,7,Y,1753,118,Y,9014,134,Y,2043,120,Y,2018
18,IN,Indiana,2246,40,Y,2032,74,Y,215,8,Y,355,32,Y,912,104,Y,462,56,Y,346,41,Y,146,17,Y,33,3,Y,314,61,Y,1745,39,Y,149,43,Y,2018
19,IA,Iowa,1165,44,Y,1081,83,Y,84,6,Y,206,39,Y,482,121,Y,264,70,Y,132,36,Y,67,16,Y,14,3,Y,50,55,Y,1062,46,Y,24,17,Y,2018
20,KS,Kansas,742,31,Y,688,58,Y,54,4,Y,113,23,Y,298,78,Y,152,43,Y,115,34,Y,57,15,Y,10,2,N,32,24,Y,623,33,Y,74,29,Y,2018
21,KY,Kentucky,1163,31,Y,1088,60,Y,74,4,Y,150,21,Y,449,77,Y,282,51,Y,200,35,Y,67,11,Y,16,2,Y,144,48,Y,968,30,Y,39,32,Y,2018
22,LA,Louisiana,3153,82,Y,2624,140,Y,527,26,Y,524,72,Y,1260,189,Y,682,117,Y,430,76,Y,221,36,Y,47,7,Y,1132,93,Y,1800,77,Y,168,92,Y,2018
23,ME,Maine,395,34,Y,369,65,Y,26,4,Y,67,37,Y,121,75,Y,91,60,Y,65,36,Y,42,20,Y,9,3,N,10,65,N,363,33,Y,12,68,Y,2018
24,MD,Maryland,4278,84,Y,3808,156,Y,472,18,Y,714,79,Y,1764,212,Y,930,120,Y,546,67,Y,262,32,Y,64,7,Y,1579,105,Y,2163,81,Y,316,68,Y,2018
25,MA,Massachusetts,7162,121,Y,6669,234,Y,501,16,Y,1118,102,Y,2881,292,Y,1455,173,Y,987,107,Y,605,64,Y,110,10,Y,516,125,Y,5314,122,Y,930,143,Y,2018
26,MI,Michigan,3486,41,Y,3187,77,Y,299,7,Y,574,36,Y,1463,113,Y,674,58,Y,483,37,Y,248,18,Y,47,3,Y,580,52,Y,2700,42,Y,160,41,Y,2018
27,MN,Minnesota,3301,71,Y,3071,133,Y,206,9,Y,482,56,Y,1368,180,Y,737,104,Y,467,68,Y,212,28,Y,38,4,Y,281,103,Y,2750,72,Y,128,57,Y,2018
28,MS,Mississippi,599,24,Y,513,43,Y,86,7,Y,115,23,Y,244,62,Y,104,28,Y,82,22,Y,44,11,Y,16,3,Y,227,25,Y,365,25,Y,10,14,N,2018
29,MO,Missouri,2555,50,Y,2407,96,Y,143,5,Y,356,37,Y,1022,124,Y,524,70,Y,426,57,Y,207,25,Y,30,3,Y,365,63,Y,2007,48,Y,120,62,Y,2018
30,MT,Montana,174,19,Y,151,34,Y,22,5,Y,22,14,Y,71,52,Y,44,35,Y,18,15,Y,17,11,Y,4,2,N,-9,-9,-9,156,20,Y,11,36,N,2018
31,NE,Nebraska,470,30,Y,438,56,Y,31,4,Y,78,24,Y,184,72,Y,101,42,Y,81,37,Y,27,11,Y,3,1,N,35,48,Y,405,32,Y,27,18,Y,2018
32,NV,Nevada,1389,55,Y,1272,101,Y,117,9,Y,160,36,Y,527,119,Y,355,88,Y,242,61,Y,93,25,Y,16,3,Y,87,39,Y,899,69,Y,314,47,Y,2018
33,NH,"New
Hampshire",502,43,Y,477,82,Y,24,4,Y,75,37,Y,192,114,Y,102,66,Y,77,41,Y,49,23,Y,9,4,N,7,45,N,476,45,Y,12,30,Y,2018
34,NJ,New Jersey,4682,62,Y,4289,118,Y,391,10,Y,711,54,Y,1926,168,Y,1071,94,Y,634,51,Y,285,23,Y,52,4,Y,601,62,Y,2777,65,Y,1021,71,Y,2018
35,NM,New Mexico,797,46,Y,763,89,Y,34,4,Y,109,32,Y,286,101,Y,168,67,Y,135,56,Y,83,30,Y,15,4,Y,5,15,N,426,61,Y,352,43,Y,2018
36,NY,New York,29781,179,Y,27477,344,Y,2297,27,Y,3560,121,Y,13654,475,Y,7080,292,Y,3565,140,Y,1640,63,Y,315,10,Y,4599,192,Y,18550,196,Y,5049,168,Y,2018
37,NC,North Carolina,4016,46,Y,3689,88,Y,327,7,Y,578,35,Y,1616,116,Y,813,63,Y,643,47,Y,303,23,Y,65,4,Y,1136,61,Y,2609,46,Y,216,30,Y,2018
38,ND,North Dakota,133,21,Y,118,37,Y,6,2,N,21,16,Y,51,45,Y,41,45,Y,16,20,Y,7,7,N,-9,-9,-9,9,50,N,122,23,Y,-9,-9,-9,2018
39,OH,Ohio,4875,50,Y,4481,94,Y,394,8,Y,764,42,Y,1995,129,Y,1071,77,Y,678,46,Y,304,19,Y,71,4,Y,808,68,Y,3750,48,Y,202,60,Y,2018
40,OK,Oklahoma,801,25,Y,751,47,Y,49,3,Y,104,16,Y,304,56,Y,186,38,Y,140,30,Y,65,13,Y,5,1,N,83,35,Y,632,29,Y,52,17,Y,2018
41,OR,Oregon,2676,75,Y,2477,141,Y,200,11,Y,357,58,Y,1072,180,Y,640,115,Y,398,78,Y,172,32,Y,40,5,Y,84,128,Y,2276,82,Y,240,58,Y,2018
42,PA,Pennsylvania,8592,79,Y,7679,145,Y,911,16,Y,1516,79,Y,3577,211,Y,1755,117,Y,1117,68,Y,533,29,Y,108,5,Y,1618,142,Y,6010,71,Y,662,91,Y,2018
44,RI,Rhode Island,807,88,Y,763,173,Y,44,9,Y,134,78,Y,316,216,Y,166,134,Y,130,93,Y,54,36,Y,10,5,N,50,95,Y,593,87,Y,136,105,Y,2018
45,SC,South Carolina,1240,29,Y,1089,53,Y,150,7,Y,143,18,Y,513,76,Y,270,44,Y,212,33,Y,85,13,Y,21,2,Y,382,34,Y,797,28,Y,38,18,Y,2018
46,SD,South Dakota,110,15,Y,95,26,Y,13,4,Y,12,9,Y,49,42,Y,31,30,Y,13,13,Y,6,5,N,0,0,-9,3,21,N,95,16,Y,6,25,N,2018
47,TN,Tennessee,2614,46,Y,2406,87,Y,207,7,Y,389,37,Y,1030,110,Y,579,69,Y,414,47,Y,180,20,Y,28,3,Y,628,68,Y,1860,43,Y,84,32,Y,2018
48,TX,Texas,17668,76,Y,16455,143,Y,1204,10,Y,2301,47,Y,7382,175,Y,4146,107,Y,2514,71,Y,1120,35,Y,207,6,Y,1764,63,Y,10231,100,Y,5009,58,Y,2018
49,UT,Utah,1378,55,Y,1336,107,Y,42,3,Y,189,31,Y,614,132,Y,323,74,Y,166,52,Y,76,25,Y,14,4,Y,15,54,Y,1171,59,Y,131,40,Y,2018
50,VT,Vermont,271,50,Y,252,95,Y,20,7,Y,52,52,Y,69,93,Y,59,84,Y,40,50,Y,40,42,Y,13,11,Y,8,125,N,241,48,Y,16,158,Y,2018
51,VA,Virginia,3309,46,Y,3059,87,Y,239,7,Y,410,31,Y,1424,120,Y,718,65,Y,489,43,Y,208,19,Y,54,4,Y,448,33,Y,2433,54,Y,261,42,Y,2018
53,WA,Washington,7363,116,Y,6913,220,Y,445,14,Y,840,75,Y,3012,262,Y,1834,183,Y,1059,114,Y,509,53,Y,109,9,Y,332,137,Y,5722,128,Y,821,116,Y,2018
