GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,0.93,1.07,0.43,0.51,1.03,1.23,1.25,0.83,0.71,0.41,2.4,1.2,2016
2,AK,Alaska,10.43,10.93,10.88,16.25,7.35,9.25,50.0,4.5,2.0,12.25,28.89,13.5,2016
4,AZ,Arizona,2.11,2.27,1.08,0.91,2.4,2.47,2.64,2.04,2.79,0.56,4.99,0.87,2016
5,AR,Arkansas,0.85,0.93,0.39,0.36,0.92,1.41,1.08,0.86,1.0,0.3,1.74,0.19,2016
6,CA,California,3.6,3.84,1.76,1.62,3.86,4.57,4.32,3.83,2.92,0.92,9.84,1.54,2016
8,CO,Colorado,3.54,3.72,2.07,2.04,3.77,5.03,3.7,2.44,3.17,1.19,6.37,1.26,2016
9,CT,Connecticut,3.89,4.31,2.29,3.63,4.48,5.02,3.47,2.83,1.38,1.45,9.92,1.97,2016
10,DE,Delaware,1.7,1.83,1.31,1.68,1.35,1.58,2.41,2.38,1.83,0.65,5.12,1.44,2016
11,DC,"Washington, D.C.",8.48,10.7,1.76,3.41,12.48,10.83,8.15,3.55,2.23,3.51,40.49,4.84,2016
12,FL,Florida,1.28,1.49,0.51,0.59,1.26,1.57,1.76,1.28,1.17,0.34,3.51,0.95,2016
13,GA,Georgia,1.38,1.57,0.62,0.45,1.33,2.37,2.14,1.37,1.04,0.61,5.93,1.06,2016
15,HI,Hawaii,4.33,4.54,2.89,3.46,2.8,6.67,11.17,4.0,6.0,1.2,10.16,1.88,2016
16,ID,Idaho,4.18,4.78,1.63,3.67,4.2,4.6,7.75,1.6,5.0,2.0,7.09,0.91,2016
17,IL,Illinois,4.64,5.21,1.67,1.97,5.72,6.52,5.74,2.96,2.75,1.16,16.28,2.83,2016
18,IN,Indiana,2.13,2.24,1.72,1.38,2.14,2.99,2.53,1.82,2.67,0.7,4.47,0.87,2016
19,IA,Iowa,2.76,3.2,1.0,1.83,3.37,2.82,2.65,2.38,8.0,0.65,4.56,1.09,2016
20,KS,Kansas,2.3,2.48,1.54,1.82,2.28,2.48,3.14,1.58,2.67,0.56,3.75,0.72,2016
21,KY,Kentucky,1.52,1.65,0.8,1.11,1.48,1.65,1.75,2.08,1.83,0.58,2.54,0.28,2016
22,LA,Louisiana,1.09,1.3,0.5,0.67,1.26,1.37,1.04,0.99,2.08,0.38,3.65,0.77,2016
23,ME,Maine,3.45,4.97,1.19,7.25,3.38,2.16,6.83,2.57,3.0,0.33,5.25,1.5,2016
24,MD,Maryland,1.87,2.26,0.82,1.38,2.29,2.3,1.67,1.24,1.09,0.98,7.11,1.61,2016
25,MA,Massachusetts,5.68,7.03,1.91,5.74,6.73,5.47,5.36,4.2,2.44,1.44,10.84,3.15,2016
26,MI,Michigan,1.92,2.03,1.35,1.08,2.57,2.24,2.0,1.65,4.0,0.52,4.94,1.21,2016
27,MN,Minnesota,6.09,7.29,1.88,3.43,7.15,6.73,7.23,5.3,7.67,1.21,13.53,2.06,2016
28,MS,Mississippi,0.64,0.71,0.37,0.43,0.69,0.78,0.8,0.57,1.71,0.3,2.86,-9.0,2016
29,MO,Missouri,2.3,2.58,1.14,1.05,2.58,3.29,2.6,3.11,5.2,0.73,4.51,1.5,2016
30,MT,Montana,3.55,3.47,6.0,9.0,2.9,7.0,2.17,4.0,-8.0,-8.0,3.5,5.0,2016
31,NE,Nebraska,3.23,3.77,1.07,3.1,3.83,4.64,2.33,1.44,-8.0,0.93,5.39,0.5,2016
32,NV,Nevada,1.27,1.32,0.99,0.64,1.14,1.75,1.64,1.61,3.0,0.29,2.96,0.88,2016
33,NH,New Hampshire,6.03,8.35,1.38,8.6,7.36,7.0,3.5,7.0,3.0,0.6,8.96,1.0,2016
34,NJ,New Jersey,1.91,2.28,0.71,1.39,2.34,2.43,1.66,1.22,1.0,0.56,6.83,0.98,2016
35,NM,New Mexico,2.23,2.29,1.71,1.23,1.84,2.29,4.29,4.0,3.0,2.0,7.65,1.39,2016
36,NY,New York,5.46,6.33,2.08,3.47,6.92,6.85,4.57,3.04,2.65,2.16,21.98,2.42,2016
37,NC,North Carolina,1.21,1.32,0.66,0.55,1.35,1.61,1.94,0.94,1.23,0.52,3.44,0.78,2016
38,ND,North Dakota,1.23,1.92,-1.0,2.6,0.94,1.3,1.5,0.83,-9.0,-1.0,3.27,-9.0,2016
39,OH,Ohio,2.56,2.81,1.53,1.36,2.86,3.51,2.91,2.38,3.36,0.94,5.05,2.0,2016
40,OK,Oklahoma,1.13,1.25,0.56,0.7,1.09,1.35,1.73,1.42,-1.0,0.33,2.0,0.48,2016
41,OR,Oregon,5.88,6.17,3.67,3.8,7.17,6.03,5.61,4.68,5.67,4.17,7.62,2.21,2016
42,PA,Pennsylvania,3.26,3.75,1.54,2.43,3.97,3.81,2.82,2.58,2.22,1.4,8.18,1.09,2016
44,RI,Rhode Island,5.91,7.44,1.56,6.55,5.37,8.55,5.5,4.4,2.0,1.18,9.9,4.28,2016
45,SC,South Carolina,0.58,0.62,0.41,0.24,0.64,1.11,0.69,0.31,0.71,0.25,2.08,0.1,2016
46,SD,South Dakota,0.95,0.91,0.86,0.83,1.58,1.0,0.5,-9.0,0.0,-9.0,1.32,1.29,2016
47,TN,Tennessee,1.46,1.56,0.99,0.68,1.53,1.94,2.03,1.71,2.0,0.51,3.46,0.71,2016
48,TX,Texas,1.63,1.81,0.76,0.71,1.71,2.24,2.1,1.73,1.69,0.51,5.76,0.88,2016
49,UT,Utah,4.68,5.26,1.2,2.38,5.44,4.75,6.47,5.14,9.0,0.38,8.11,1.32,2016
50,VT,Vermont,31.75,29.25,-8.0,-8.0,11.67,-8.0,-8.0,15.0,-8.0,5.0,34.67,-8.0,2016
51,VA,Virginia,1.76,1.99,0.74,0.89,2.0,2.23,1.99,1.92,1.36,0.44,6.09,0.7,2016
53,WA,Washington,9.99,11.98,3.09,6.31,12.43,11.41,9.88,7.03,5.6,2.55,18.44,5.02,2016
54,WV,West Virginia,2.09,2.4,0.85,1.5,2.74,2.12,1.79,1.38,-8.0,0.5,2.79,-1.0,2016
55,WI,Wisconsin,3.88,4.16,2.22,2.07,4.69,5.82,5.5,2.0,18.0,0.47,9.67,3.53,2016
56,WY,Wyoming,1.9,1.89,2.5,4.5,1.0,4.0,3.0,-1.0,3.0,-9.0,2.0,-1.0,2016
72,PR,Puerto Rico,0.19,0.19,0.17,0.1,0.16,0.17,0.26,0.09,0.2,-8.0,-8.0,0.19,2016
