GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,4.93,5.84,1.87,3.96,5.68,4.73,5.11,4.7,6.33,2.6,12.73,2.43,2022
2,AK,Alaska,19.03,20.21,9.75,7.11,15.12,33.33,30.33,37.0,-8.0,16.8,38.31,11.14,2022
4,AZ,Arizona,9.75,10.79,3.45,7.26,10.3,10.36,8.87,11.16,14.6,1.79,22.17,5.9,2022
5,AR,Arkansas,5.65,6.71,1.67,5.53,6.3,4.99,5.82,4.36,16.5,2.34,10.63,3.08,2022
6,CA,California,12.36,13.46,5.01,8.74,12.87,13.5,12.61,12.5,14.92,3.87,35.83,6.0,2022
8,CO,Colorado,17.06,18.63,6.39,12.01,18.17,17.71,20.62,19.52,10.18,7.52,30.42,6.28,2022
9,CT,Connecticut,17.76,21.11,6.2,20.83,17.71,15.45,16.11,29.62,10.33,4.42,57.69,7.81,2022
10,DE,Delaware,6.62,7.75,1.88,5.0,6.5,7.28,5.05,8.07,22.5,2.41,16.17,4.81,2022
11,DC,"Washington, D.C.",35.66,43.24,7.02,12.52,34.56,61.13,43.8,40.23,15.88,14.55,297.13,18.81,2022
12,FL,Florida,10.52,11.27,7.42,7.81,9.65,11.18,12.35,13.55,11.63,5.06,24.99,8.0,2022
13,GA,Georgia,5.49,6.37,1.96,2.85,5.68,7.31,7.52,6.05,4.3,2.78,20.96,2.71,2022
15,HI,Hawaii,19.21,21.74,5.17,19.63,19.32,19.86,19.1,20.14,10.75,8.0,26.5,16.27,2022
16,ID,Idaho,23.58,26.08,8.33,25.57,19.84,25.4,20.67,69.0,-8.0,7.33,30.89,12.33,2022
17,IL,Illinois,16.48,19.19,4.89,11.65,16.83,18.92,18.35,15.29,17.24,4.89,55.26,9.41,2022
18,IN,Indiana,8.9,10.88,2.64,7.06,9.96,8.81,8.26,10.05,11.44,2.66,19.47,3.77,2022
19,IA,Iowa,18.38,20.17,8.22,15.62,21.05,23.32,11.09,27.33,10.0,2.86,33.81,3.04,2022
20,KS,Kansas,12.55,13.62,5.24,9.0,14.04,12.45,13.14,12.7,-8.0,3.52,25.3,4.19,2022
21,KY,Kentucky,7.48,8.38,3.19,5.57,7.82,8.84,8.8,5.3,11.0,2.69,12.68,1.53,2022
22,LA,Louisiana,5.69,6.31,3.63,4.12,6.05,6.68,5.66,5.54,7.86,3.17,13.37,3.16,2022
23,ME,Maine,25.24,38.27,3.94,20.71,31.82,15.6,34.6,63.0,17.0,3.0,38.15,-8.0,2022
24,MD,Maryland,9.64,11.59,3.56,7.38,10.63,10.89,7.24,11.65,10.14,4.65,57.22,4.66,2022
25,MA,Massachusetts,29.21,37.04,7.41,40.9,32.75,26.7,20.84,27.59,16.28,6.34,72.9,11.38,2022
26,MI,Michigan,11.54,12.8,5.25,8.01,12.24,13.33,11.75,13.63,12.5,3.52,28.5,5.79,2022
27,MN,Minnesota,25.23,30.0,5.94,12.33,40.36,25.14,21.67,29.0,18.86,4.66,61.55,6.73,2022
28,MS,Mississippi,3.3,3.42,2.9,2.36,3.24,4.17,3.96,4.81,4.0,2.14,7.8,0.59,2022
29,MO,Missouri,9.96,11.89,3.13,6.07,11.64,11.1,9.39,12.3,9.36,3.16,21.82,3.37,2022
30,MT,Montana,33.07,34.0,20.0,85.0,38.4,19.83,20.0,-8.0,-8.0,-8.0,46.3,6.0,2022
31,NE,Nebraska,14.0,16.8,3.47,18.64,15.64,14.05,9.13,7.8,-8.0,3.12,22.78,5.29,2022
32,NV,Nevada,11.35,11.34,11.38,5.38,8.45,11.53,17.76,26.03,29.0,3.39,31.58,6.56,2022
33,NH,New Hampshire,39.71,45.7,11.8,44.25,27.53,48.2,130.0,-8.0,11.33,2.0,68.0,17.0,2022
