GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
34,NJ,New Jersey,8.57,9.85,2.66,8.28,8.81,8.6,10.0,7.1,5.74,3.04,39.33,3.78,2022
35,NM,New Mexico,13.36,15.17,3.96,12.64,18.0,10.45,12.79,11.5,11.0,9.2,27.15,11.44,2022
36,NY,New York,20.79,24.06,6.94,12.27,23.95,26.09,19.35,16.34,10.69,7.61,83.3,8.94,2022
37,NC,North Carolina,7.27,8.32,2.61,4.9,6.83,9.11,8.88,10.58,9.83,3.41,22.21,2.7,2022
38,ND,North Dakota,9.92,12.74,1.56,34.0,8.88,10.43,7.67,4.5,-8.0,1.54,34.78,4.5,2022
39,OH,Ohio,12.72,14.99,4.43,9.78,14.5,11.82,12.36,15.09,16.07,4.39,24.2,6.4,2022
40,OK,Oklahoma,6.9,8.09,2.57,6.25,7.18,7.3,5.7,7.91,9.0,2.13,14.87,3.05,2022
41,OR,Oregon,23.21,25.82,11.02,20.45,26.54,25.29,17.45,20.7,20.67,11.89,32.85,9.01,2022
42,PA,Pennsylvania,17.13,19.58,7.8,16.33,18.36,16.62,15.44,17.1,16.29,6.45,42.31,5.93,2022
44,RI,Rhode Island,25.17,27.73,11.55,29.22,32.24,28.07,21.1,13.0,12.5,17.0,44.2,8.73,2022
45,SC,South Carolina,4.81,5.56,1.95,3.11,5.27,5.88,4.71,5.09,9.6,3.28,10.59,1.45,2022
46,SD,South Dakota,7.0,8.9,1.73,7.86,8.31,4.92,6.57,6.67,-8.0,0.0,19.86,2.33,2022
47,TN,Tennessee,10.15,11.38,5.73,7.62,11.51,12.26,8.49,10.47,8.44,4.78,20.2,4.06,2022
48,TX,Texas,8.25,9.34,3.08,5.56,8.63,10.02,8.58,8.78,7.3,3.15,25.45,5.46,2022
49,UT,Utah,26.26,28.46,10.79,18.45,31.4,32.72,19.36,18.27,27.5,4.22,66.96,5.74,2022
50,VT,Vermont,193.67,181.0,-8.0,-8.0,202.0,-8.0,-8.0,35.0,-8.0,-8.0,179.67,-8.0,2022
51,VA,Virginia,9.44,10.62,3.46,7.4,9.91,10.53,8.75,10.07,8.78,3.47,24.23,6.0,2022
53,WA,Washington,26.57,31.46,8.0,21.19,31.73,26.67,21.04,24.92,24.55,4.91,63.48,9.97,2022
54,WV,West Virginia,6.87,8.63,2.49,12.8,5.59,6.63,6.53,16.8,4.17,8.6,6.92,4.33,2022
55,WI,Wisconsin,11.2,12.71,3.76,8.1,12.97,12.37,9.05,21.91,6.73,2.18,31.03,2.94,2022
56,WY,Wyoming,14.5,13.86,-8.0,-8.0,11.29,16.33,9.0,8.0,-8.0,-8.0,14.0,13.0,2022
72,PR,Puerto Rico,1.45,1.65,0.38,0.77,1.64,1.64,1.61,1.41,0.59,-9.0,-9.0,1.48,2022
