GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,597,15,Y,536,27,Y,61,3,Y,86,11,Y,215,34,Y,133,22,Y,119,18,Y,38,6,Y,10,1,N,164,15,Y,400,15,Y,30,21,Y,2016
2,AK,Alaska,386,64,Y,317,100,Y,87,30,Y,65,52,Y,125,104,Y,74,80,Y,100,107,Y,18,19,Y,4,5,N,49,241,Y,260,67,Y,54,143,Y,2016
4,AZ,Arizona,1482,26,Y,1374,48,Y,106,4,Y,138,12,Y,556,59,Y,371,44,Y,282,33,Y,102,12,Y,39,3,Y,68,28,Y,1127,33,Y,241,15,Y,2016
5,AR,Arkansas,265,11,Y,246,20,Y,18,1,Y,32,7,Y,97,25,Y,83,23,Y,39,10,Y,12,3,Y,5,1,N,42,11,Y,214,12,Y,6,4,N,2016
6,CA,California,18460,57,Y,17374,108,Y,1065,6,Y,1696,27,Y,6995,118,Y,4739,92,Y,3419,66,Y,1293,28,Y,298,6,Y,772,41,Y,12316,94,Y,3781,32,Y,2016
8,CO,Colorado,1472,32,Y,1378,59,Y,95,4,Y,165,19,Y,614,72,Y,362,48,Y,248,35,Y,66,9,Y,19,3,Y,69,38,Y,1166,35,Y,194,22,Y,2016
9,CT,Connecticut,999,33,Y,883,60,Y,119,8,Y,167,29,Y,358,82,Y,211,50,Y,163,31,Y,82,16,Y,18,3,Y,149,50,Y,655,31,Y,154,36,Y,2016
10,DE,Delaware,190,24,Y,157,41,Y,34,8,Y,32,22,Y,58,46,Y,30,28,Y,41,32,Y,19,15,Y,11,7,N,48,28,Y,128,24,Y,13,21,Y,2016
11,DC,"Washington,
D.C.",2967,502,Y,2792,1006,Y,157,50,Y,208,205,Y,1385,862,Y,780,787,Y,432,559,Y,142,202,Y,29,35,Y,877,330,Y,1822,799,Y,208,355,Y,2016
12,FL,Florida,5643,32,Y,5150,60,Y,486,5,Y,485,16,Y,1795,67,Y,1441,58,Y,1247,45,Y,506,19,Y,162,4,Y,629,24,Y,3515,35,Y,1314,31,Y,2016
13,GA,Georgia,3448,40,Y,3146,77,Y,304,7,Y,287,17,Y,1185,83,Y,954,70,Y,718,51,Y,241,20,Y,57,4,Y,1064,41,Y,2094,44,Y,231,33,Y,2016
15,HI,Hawaii,329,27,Y,304,51,Y,26,4,Y,45,22,Y,98,47,Y,80,45,Y,67,38,Y,32,17,Y,12,5,Y,12,52,Y,193,68,Y,15,14,Y,2016
16,ID,Idaho,184,13,Y,172,25,Y,13,2,Y,33,12,Y,63,28,Y,46,22,Y,31,16,Y,8,4,N,5,2,N,12,132,Y,156,14,Y,10,7,N,2016
17,IL,Illinois,6885,64,Y,6481,124,Y,403,7,Y,763,37,Y,2954,166,Y,1729,105,Y,1061,62,Y,305,18,Y,77,4,Y,848,57,Y,4804,70,Y,965,58,Y,2016
18,IN,Indiana,1038,19,Y,859,32,Y,179,6,Y,163,15,Y,371,43,Y,245,30,Y,177,20,Y,69,8,Y,16,2,Y,145,29,Y,835,19,Y,54,17,Y,2016
19,IA,Iowa,364,14,Y,333,26,Y,28,2,Y,53,10,Y,138,35,Y,79,22,Y,53,14,Y,31,7,Y,8,2,N,24,29,Y,324,14,Y,12,9,Y,2016
20,KS,Kansas,343,14,Y,305,26,Y,40,3,Y,51,10,Y,123,32,Y,77,22,Y,66,19,Y,19,5,Y,8,2,N,18,13,Y,300,16,Y,18,7,Y,2016
21,KY,Kentucky,511,14,Y,472,26,Y,41,2,Y,68,10,Y,189,33,Y,127,23,Y,93,16,Y,25,4,Y,11,2,N,62,21,Y,425,13,Y,11,10,N,2016
22,LA,Louisiana,1188,31,Y,1043,56,Y,147,7,Y,187,25,Y,467,69,Y,290,51,Y,147,25,Y,73,12,Y,27,4,Y,293,24,Y,791,34,Y,61,34,Y,2016
23,ME,Maine,183,16,Y,159,28,Y,25,4,Y,29,15,Y,54,35,Y,41,27,Y,41,21,Y,18,9,Y,3,1,N,6,42,N,168,15,Y,3,18,N,2016
24,MD,Maryland,2040,40,Y,1780,74,Y,252,10,Y,314,34,Y,813,98,Y,456,60,Y,300,35,Y,122,15,Y,37,4,Y,755,51,Y,1003,37,Y,161,37,Y,2016
25,MA,Massachusetts,3615,62,Y,3299,117,Y,319,11,Y,517,47,Y,1393,145,Y,760,92,Y,633,66,Y,269,29,Y,44,4,Y,283,71,Y,2645,60,Y,501,83,Y,2016
26,MI,Michigan,1430,17,Y,1272,31,Y,157,4,Y,245,15,Y,563,45,Y,285,25,Y,218,16,Y,91,7,Y,32,2,Y,216,19,Y,1112,17,Y,69,19,Y,2016
27,MN,Minnesota,1753,38,Y,1619,71,Y,124,5,Y,223,26,Y,679,91,Y,444,65,Y,282,39,Y,106,14,Y,23,3,Y,153,61,Y,1461,38,Y,64,31,Y,2016
28,MS,Mississippi,267,11,Y,230,19,Y,36,3,Y,56,11,Y,92,23,Y,58,16,Y,35,9,Y,17,4,Y,12,3,Y,101,11,Y,166,11,Y,-9,-9,-9,2016
29,MO,Missouri,1161,23,Y,1046,42,Y,113,4,Y,153,16,Y,395,49,Y,270,37,Y,239,30,Y,84,10,Y,26,3,Y,168,29,Y,892,22,Y,63,35,Y,2016
30,MT,Montana,71,8,Y,66,15,Y,6,1,N,9,6,N,29,22,Y,14,12,Y,13,10,Y,4,3,N,3,2,N,-9,-9,-9,63,8,Y,5,18,N,2016
31,NE,Nebraska,229,15,Y,215,28,Y,15,2,Y,31,10,Y,88,35,Y,65,28,Y,35,15,Y,13,5,Y,-1,-1,-9,13,19,Y,205,16,Y,7,5,N,2016
32,NV,Nevada,647,27,Y,579,48,Y,70,6,Y,61,14,Y,239,56,Y,175,45,Y,125,32,Y,37,10,Y,12,3,Y,41,20,Y,411,32,Y,159,25,Y,2016
33,NH,"New
Hampshire",235,20,Y,217,38,Y,18,3,Y,43,20,Y,81,50,Y,56,36,Y,42,21,Y,14,7,Y,3,1,N,3,21,N,224,21,Y,7,19,N,2016
34,NJ,New Jersey,2247,30,Y,2041,56,Y,198,5,Y,287,21,Y,877,78,Y,545,48,Y,371,29,Y,131,11,Y,38,3,Y,242,25,Y,1414,33,Y,440,32,Y,2016
35,NM,New Mexico,336,19,Y,307,36,Y,29,3,Y,38,11,Y,107,38,Y,78,32,Y,73,29,Y,32,12,Y,9,3,N,4,12,N,199,28,Y,129,16,Y,2016
36,NY,New York,15503,93,Y,14284,178,Y,1215,14,Y,1789,59,Y,6978,243,Y,3776,155,Y,2017,75,Y,723,28,Y,228,7,Y,2245,93,Y,9956,104,Y,2481,84,Y,2016
37,NC,North Carolina,1656,19,Y,1489,36,Y,166,4,Y,212,13,Y,634,47,Y,351,27,Y,328,24,Y,98,8,Y,38,2,Y,424,23,Y,1063,19,Y,122,19,Y,2016
38,ND,North Dakota,54,9,Y,50,16,Y,-1,-1,-9,13,10,Y,15,13,Y,13,15,Y,9,11,N,5,5,N,-9,-9,-9,-1,-1,-9,49,9,Y,-9,-9,-9,2016
39,OH,Ohio,2441,25,Y,2149,45,Y,291,6,Y,342,19,Y,953,63,Y,582,42,Y,364,24,Y,157,10,Y,47,2,Y,430,37,Y,1840,23,Y,110,35,Y,2016
40,OK,Oklahoma,336,10,Y,306,19,Y,30,2,Y,43,7,Y,118,22,Y,93,19,Y,69,14,Y,17,3,Y,-1,-1,-9,24,10,Y,282,13,Y,20,7,Y,2016
41,OR,Oregon,1359,39,Y,1259,74,Y,99,6,Y,133,22,Y,545,94,Y,362,68,Y,213,41,Y,89,16,Y,17,2,Y,50,81,Y,1166,43,Y,93,24,Y,2016
42,PA,Pennsylvania,3701,34,Y,3313,63,Y,387,7,Y,633,32,Y,1483,89,Y,789,53,Y,518,30,Y,227,13,Y,51,2,Y,731,65,Y,2608,30,Y,245,37,Y,2016
