GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,285,7,Y,241,12,Y,45,2,Y,34,4,Y,95,15,Y,75,12,Y,64,10,Y,18,3,Y,4,1,N,75,7,Y,199,7,Y,0,0,-9,2015
2,AK,Alaska,226,38,Y,190,60,Y,36,13,Y,22,17,Y,64,54,Y,64,70,Y,61,63,Y,14,15,Y,3,4,N,29,145,Y,160,41,Y,18,49,Y,2015
4,AZ,Arizona,728,13,Y,661,24,Y,67,2,Y,69,6,Y,266,29,Y,162,19,Y,166,20,Y,51,6,Y,17,2,Y,29,13,Y,548,16,Y,111,7,Y,2015
5,AR,Arkansas,135,5,Y,125,10,Y,12,1,Y,17,3,Y,61,16,Y,32,9,Y,16,4,Y,10,3,N,0,0,-9,15,4,Y,107,6,Y,3,2,N,2015
6,CA,California,10642,33,Y,9985,62,Y,650,4,Y,896,14,Y,3852,66,Y,2817,55,Y,2186,42,Y,729,16,Y,157,3,Y,400,21,Y,7346,56,Y,2002,17,Y,2015
8,CO,Colorado,876,19,Y,797,35,Y,79,3,Y,126,14,Y,357,43,Y,192,26,Y,146,20,Y,48,7,Y,10,1,N,40,23,Y,685,21,Y,109,12,Y,2015
9,CT,Connecticut,490,16,Y,427,29,Y,63,4,Y,93,16,Y,176,40,Y,107,25,Y,73,14,Y,28,6,Y,14,2,Y,62,21,Y,344,16,Y,65,15,Y,2015
10,DE,Delaware,106,13,Y,89,23,Y,18,4,Y,17,12,Y,39,31,Y,14,13,Y,22,17,Y,13,10,Y,5,3,N,20,12,Y,77,15,Y,10,16,N,2015
11,DC,"Washington,
D.C.",1714,294,Y,1647,602,Y,62,20,Y,135,131,Y,768,488,Y,467,487,Y,257,335,Y,84,120,Y,12,15,Y,520,196,Y,1024,459,Y,132,231,Y,2015
12,FL,Florida,2976,17,Y,2682,32,Y,294,3,Y,213,7,Y,906,35,Y,778,32,Y,735,27,Y,272,10,Y,67,2,Y,276,11,Y,1914,19,Y,683,17,Y,2015
13,GA,Georgia,1855,22,Y,1671,41,Y,184,4,Y,124,7,Y,666,48,Y,530,39,Y,392,28,Y,119,10,Y,21,2,Y,525,20,Y,1151,24,Y,128,19,Y,2015
15,HI,Hawaii,167,14,Y,145,24,Y,23,4,Y,13,6,Y,53,26,Y,42,24,Y,37,21,Y,17,9,Y,6,3,N,5,22,N,96,34,Y,8,8,N,2015
16,ID,Idaho,90,7,Y,83,12,Y,7,1,N,15,5,Y,37,17,Y,20,10,Y,14,7,Y,5,2,N,0,0,-9,5,59,N,74,7,Y,8,6,N,2015
17,IL,Illinois,4032,38,Y,3798,73,Y,231,4,Y,397,19,Y,1776,100,Y,1062,64,Y,605,35,Y,162,10,Y,36,2,Y,528,35,Y,2843,41,Y,480,29,Y,2015
18,IN,Indiana,491,9,Y,400,15,Y,90,3,Y,68,6,Y,181,21,Y,133,16,Y,77,9,Y,29,3,Y,6,1,N,67,14,Y,385,9,Y,27,9,Y,2015
19,IA,Iowa,168,6,Y,147,11,Y,21,2,Y,28,5,Y,61,16,Y,44,12,Y,26,7,Y,7,2,N,-1,-1,-9,8,10,N,146,6,Y,5,4,N,2015
20,KS,Kansas,185,8,Y,160,14,Y,25,2,Y,33,7,Y,59,15,Y,40,12,Y,44,12,Y,10,3,N,-1,-1,-9,9,7,N,157,8,Y,12,5,Y,2015
21,KY,Kentucky,237,6,Y,209,12,Y,29,2,Y,38,5,Y,68,12,Y,56,10,Y,56,9,Y,16,3,Y,5,1,N,27,9,Y,200,6,Y,4,4,N,2015
22,LA,Louisiana,593,15,Y,505,27,Y,88,4,Y,98,13,Y,255,38,Y,125,22,Y,75,12,Y,37,6,Y,9,1,N,190,16,Y,347,15,Y,33,19,Y,2015
23,ME,Maine,93,8,Y,75,13,Y,18,3,Y,15,8,Y,35,23,Y,22,14,Y,14,7,Y,8,4,N,-9,-9,-9,3,22,N,83,8,Y,5,32,N,2015
24,MD,Maryland,973,19,Y,858,36,Y,116,4,Y,127,14,Y,371,45,Y,231,30,Y,163,19,Y,64,8,Y,19,2,Y,322,22,Y,499,18,Y,111,26,Y,2015
25,MA,Massachusetts,2023,35,Y,1794,64,Y,232,8,Y,255,23,Y,793,84,Y,418,50,Y,378,39,Y,151,17,Y,27,3,Y,179,46,Y,1512,34,Y,229,39,Y,2015
26,MI,Michigan,644,8,Y,567,14,Y,77,2,Y,100,6,Y,244,20,Y,134,11,Y,104,8,Y,55,4,Y,9,1,N,94,8,Y,488,8,Y,37,10,Y,2015
27,MN,Minnesota,1115,24,Y,1011,45,Y,91,4,Y,151,17,Y,398,53,Y,309,46,Y,179,24,Y,64,9,Y,17,2,Y,103,43,Y,916,24,Y,43,21,Y,2015
28,MS,Mississippi,151,6,Y,118,10,Y,34,3,Y,42,8,Y,47,12,Y,36,10,Y,27,7,Y,3,1,N,-1,-1,-9,44,5,Y,102,7,Y,-9,-9,-9,2015
29,MO,Missouri,622,12,Y,535,22,Y,84,3,Y,91,9,Y,184,23,Y,158,22,Y,143,18,Y,34,4,Y,8,1,N,100,18,Y,457,11,Y,32,18,Y,2015
30,MT,Montana,36,4,Y,28,6,Y,8,2,N,4,2,N,12,9,Y,8,7,N,8,6,N,3,2,N,-1,-1,-9,-9,-9,-9,26,3,Y,8,30,N,2015
31,NE,Nebraska,115,7,Y,99,13,Y,16,2,Y,13,4,Y,49,19,Y,33,15,Y,16,7,Y,6,3,N,-9,-9,-9,5,7,N,101,8,Y,7,5,N,2015
32,NV,Nevada,324,14,Y,285,24,Y,39,3,Y,34,8,Y,128,31,Y,72,19,Y,57,15,Y,27,8,Y,7,2,N,15,8,Y,209,16,Y,77,13,Y,2015
33,NH,"New
Hampshire",114,10,Y,107,19,Y,7,1,N,14,7,Y,41,26,Y,34,22,Y,21,10,Y,6,3,N,-1,-1,-9,-9,-9,-9,109,10,Y,3,9,N,2015
34,NJ,New Jersey,1232,17,Y,1087,30,Y,143,4,Y,184,14,Y,470,42,Y,304,27,Y,195,15,Y,64,5,Y,15,1,Y,120,13,Y,793,18,Y,239,18,Y,2015
35,NM,New Mexico,174,10,Y,161,19,Y,12,1,Y,17,5,Y,49,17,Y,36,15,Y,50,19,Y,19,7,Y,5,2,N,-9,-9,-9,122,17,Y,36,5,Y,2015
36,NY,New York,8490,51,Y,7837,98,Y,652,8,Y,953,31,Y,3782,133,Y,2110,86,Y,1181,43,Y,375,15,Y,97,3,Y,1196,50,Y,5561,58,Y,1337,46,Y,2015
37,NC,North Carolina,823,10,Y,719,18,Y,106,2,Y,117,7,Y,281,21,Y,202,16,Y,163,12,Y,45,4,Y,16,1,Y,224,13,Y,524,9,Y,41,6,Y,2015
38,ND,North Dakota,31,5,Y,28,9,Y,3,1,N,8,6,N,9,8,N,13,15,Y,-1,-1,-9,-1,-1,-9,-9,-9,-9,-9,-9,-9,23,4,Y,-1,-1,-9,2015
39,OH,Ohio,1036,11,Y,877,19,Y,162,3,Y,143,8,Y,395,27,Y,267,19,Y,157,10,Y,61,4,Y,17,1,Y,186,16,Y,777,10,Y,38,13,Y,2015
