GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,4.19,4.91,1.56,3.06,4.75,3.78,5.26,5.2,3.83,2.14,9.58,3.42,2021
2,AK,Alaska,20.17,22.92,5.8,12.6,19.45,25.5,20.0,21.0,-8.0,30.0,32.69,19.0,2021
4,AZ,Arizona,8.57,9.27,3.42,6.07,8.39,9.8,9.23,9.65,12.31,2.07,18.68,4.92,2021
5,AR,Arkansas,3.93,4.51,1.52,2.95,4.0,4.97,3.76,4.05,2.75,1.58,7.16,2.91,2021
6,CA,California,10.74,11.7,4.07,6.93,11.62,11.97,10.88,10.89,10.29,2.84,29.04,5.41,2021
8,CO,Colorado,14.65,15.89,5.65,10.4,15.08,16.53,16.45,15.88,11.0,4.25,25.02,7.06,2021
9,CT,Connecticut,13.47,15.85,4.86,12.73,14.75,13.45,12.61,10.67,20.33,3.63,32.49,7.96,2021
10,DE,Delaware,7.61,9.14,1.94,3.79,7.23,9.79,7.69,13.83,15.0,2.83,21.9,4.31,2021
11,DC,"Washington, D.C.",34.09,42.75,6.09,13.0,39.38,51.88,28.19,24.32,16.33,15.01,180.27,19.48,2021
12,FL,Florida,10.63,11.07,8.78,7.81,9.53,11.63,13.33,13.33,9.5,5.22,23.31,8.82,2021
13,GA,Georgia,5.15,5.88,2.06,2.74,5.24,6.55,7.72,6.31,4.73,2.57,20.98,3.19,2021
15,HI,Hawaii,15.07,17.15,4.42,10.45,18.0,16.94,13.0,10.8,39.0,2.63,23.5,11.91,2021
16,ID,Idaho,16.02,17.7,5.0,22.29,16.32,14.07,53.5,7.13,5.5,6.33,22.69,5.94,2021
17,IL,Illinois,15.0,17.02,4.69,8.58,16.77,21.35,14.27,12.76,6.27,4.22,47.25,9.47,2021
18,IN,Indiana,8.02,9.3,2.89,6.79,7.68,9.23,8.23,8.51,20.5,2.82,15.24,3.33,2021
19,IA,Iowa,15.6,18.32,4.92,19.0,19.05,16.0,9.67,13.82,5.17,1.96,29.18,2.27,2021
20,KS,Kansas,8.56,9.47,3.58,7.81,10.06,7.74,6.9,8.42,19.0,2.17,14.58,3.22,2021
21,KY,Kentucky,5.71,6.46,2.41,4.83,5.64,5.51,5.75,9.3,6.33,2.22,8.59,1.87,2021
22,LA,Louisiana,4.4,4.99,2.42,2.76,5.18,4.92,5.42,3.19,8.64,2.38,10.53,2.64,2021
23,ME,Maine,25.71,28.04,9.75,40.67,31.22,14.0,67.0,17.4,23.0,5.75,34.41,10.0,2021
24,MD,Maryland,8.3,9.96,3.06,5.87,10.53,9.15,8.18,5.56,4.32,4.16,35.79,4.85,2021
25,MA,Massachusetts,23.0,30.61,5.1,37.45,30.48,17.2,15.15,19.63,13.79,4.74,50.08,9.87,2021
26,MI,Michigan,9.22,10.1,4.39,6.23,10.38,11.38,8.61,8.86,8.58,2.76,21.65,5.8,2021
27,MN,Minnesota,18.42,22.05,4.07,11.88,24.8,15.97,15.48,28.13,16.33,3.18,44.76,5.78,2021
28,MS,Mississippi,3.1,3.55,1.83,2.55,3.15,3.29,3.3,3.42,7.4,2.08,7.11,1.1,2021
29,MO,Missouri,7.46,8.7,2.04,5.67,7.44,8.34,8.84,8.33,6.27,2.68,14.14,3.96,2021
30,MT,Montana,17.14,17.3,14.0,11.8,17.75,29.0,21.5,6.67,-8.0,-8.0,19.24,20.0,2021
31,NE,Nebraska,9.18,10.38,2.76,9.59,11.34,7.52,7.06,8.75,16.0,1.91,15.68,3.2,2021
32,NV,Nevada,9.4,9.41,9.35,5.19,7.59,10.96,12.06,14.81,16.6,2.41,22.57,6.48,2021
33,NH,New Hampshire,25.66,28.44,11.4,112.0,21.86,28.86,49.5,14.33,9.5,4.0,29.54,14.0,2021
34,NJ,New Jersey,7.26,8.78,1.83,6.42,9.1,7.58,5.94,5.14,3.16,1.95,33.68,3.8,2021
35,NM,New Mexico,9.93,10.83,4.0,8.42,10.48,11.73,8.59,9.5,10.5,6.71,23.63,7.67,2021
36,NY,New York,18.36,20.99,6.56,9.42,23.4,23.98,15.55,12.99,8.31,6.93,72.28,8.36,2021
37,NC,North Carolina,5.52,6.22,2.12,3.52,5.95,6.61,6.22,6.67,5.7,2.6,17.55,1.96,2021
38,ND,North Dakota,7.11,11.0,0.79,7.0,9.25,8.5,2.5,8.5,-8.0,1.42,14.24,1.33,2021
39,OH,Ohio,9.66,11.53,2.98,6.59,11.18,10.44,11.01,9.0,6.11,3.19,19.2,5.95,2021
40,OK,Oklahoma,5.87,6.63,2.32,4.52,5.77,8.0,5.02,6.89,28.0,2.04,12.75,2.08,2021
41,OR,Oregon,22.72,24.64,11.31,20.54,27.01,19.22,23.92,17.33,83.0,14.57,33.49,7.65,2021
42,PA,Pennsylvania,14.19,16.4,5.95,11.55,15.71,14.87,12.42,13.8,18.62,4.94,36.62,5.46,2021
44,RI,Rhode Island,21.43,24.54,6.92,14.0,28.2,25.46,22.88,13.89,17.0,7.0,39.29,8.6,2021
45,SC,South Carolina,4.12,4.79,1.66,2.57,4.41,5.03,4.84,5.07,3.38,2.67,10.42,1.15,2021
46,SD,South Dakota,6.39,7.52,1.5,8.25,8.0,4.0,7.25,6.67,-8.0,-9.0,14.92,0.0,2021
47,TN,Tennessee,8.23,9.24,4.01,5.8,9.64,8.57,9.62,7.95,6.6,3.67,18.11,2.69,2021
48,TX,Texas,7.58,8.52,3.03,5.02,8.21,8.9,7.97,7.95,6.4,2.69,24.67,5.06,2021
49,UT,Utah,23.18,24.2,11.45,17.15,22.89,45.63,17.47,18.67,12.33,4.6,45.84,5.3,2021
50,VT,Vermont,35.92,39.55,16.0,38.5,40.5,41.0,15.5,70.0,-8.0,4.67,46.56,30.0,2021
51,VA,Virginia,8.06,9.37,2.65,5.09,8.52,9.79,9.53,7.81,7.71,3.0,19.8,5.55,2021
53,WA,Washington,23.76,27.49,7.51,20.89,27.5,26.75,16.77,21.14,17.23,5.18,47.04,9.69,2021
54,WV,West Virginia,4.77,6.67,1.33,9.27,4.0,4.55,4.6,5.5,7.0,3.25,5.27,1.86,2021
55,WI,Wisconsin,11.13,12.57,3.93,10.12,10.93,12.64,9.69,16.0,8.17,2.55,26.94,2.75,2021
56,WY,Wyoming,19.71,21.0,12.0,32.0,8.6,28.0,-8.0,-8.0,-8.0,-8.0,24.2,5.0,2021
72,PR,Puerto Rico,1.02,1.19,0.38,0.6,1.25,1.11,1.23,1.08,0.26,-8.0,-9.0,1.04,2021
