GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,4016,93,Y,3637,175,Y,380,17,Y,673,83,Y,1567,237,Y,867,137,Y,490,79,Y,314,48,Y,111,12,Y,1278,115,Y,2550,90,Y,127,60,Y,2023
2,AK,Alaska,775,128,Y,718,224,Y,58,20,Y,76,66,Y,271,241,Y,232,219,Y,94,113,Y,80,94,Y,25,24,Y,55,273,Y,569,152,Y,74,182,Y,2023
4,AZ,Arizona,9888,156,Y,9332,297,Y,557,17,Y,1146,97,Y,3776,368,Y,2500,265,Y,1256,146,Y,920,105,Y,292,20,Y,306,101,Y,6398,180,Y,2844,153,Y,2023
5,AR,Arkansas,2042,79,Y,1893,150,Y,149,11,Y,297,60,Y,762,190,Y,500,129,Y,294,81,Y,138,37,Y,48,9,Y,350,92,Y,1496,81,Y,147,69,Y,2023
6,CA,California,69365,210,Y,65369,398,Y,3961,24,Y,7226,118,Y,26726,471,Y,19067,350,Y,8653,179,Y,5784,124,Y,1921,30,Y,3135,167,Y,39295,329,Y,19968,157,Y,2023
8,CO,Colorado,9081,181,Y,8601,338,Y,479,19,Y,1006,111,Y,3923,425,Y,2437,282,Y,1010,141,Y,569,84,Y,136,14,Y,423,205,Y,6979,203,Y,1450,138,Y,2023
9,CT,Connecticut,4587,147,Y,4209,277,Y,379,24,Y,687,123,Y,1759,389,Y,1059,228,Y,513,116,Y,440,87,Y,127,18,Y,473,142,Y,3162,155,Y,808,153,Y,2023
10,DE,Delaware,1040,118,Y,973,230,Y,69,15,Y,125,83,Y,320,251,Y,269,212,Y,139,120,Y,127,89,Y,62,28,Y,244,125,Y,681,126,Y,86,100,Y,2023
11,DC,"Washington,
D.C.",8451,1449,Y,8029,2941,Y,378,122,Y,504,511,Y,3426,2335,Y,2779,2444,Y,1044,1450,Y,569,898,Y,143,161,Y,2639,1086,Y,4908,2121,Y,632,983,Y,2023
12,FL,Florida,59628,305,Y,50155,526,Y,9401,94,Y,6383,205,Y,18360,648,Y,14921,519,Y,9601,348,Y,7609,251,Y,2649,54,Y,12793,444,Y,29506,281,Y,15831,305,Y,2023
