GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,0.42,0.46,0.31,0.17,0.46,0.66,0.73,0.36,0.25,0.18,1.21,0.0,2015
2,AK,Alaska,9.04,9.5,7.2,4.4,10.67,16.0,12.2,2.8,-8.0,9.67,20.0,6.0,2015
4,AZ,Arizona,1.06,1.11,0.73,0.48,1.14,1.16,1.51,1.16,1.31,0.27,2.41,0.42,2015
5,AR,Arkansas,0.5,0.57,0.24,0.24,0.71,0.76,0.36,0.77,0.0,0.12,1.07,0.14,2015
6,CA,California,2.1,2.2,1.23,0.84,2.23,2.76,2.66,2.21,1.57,0.5,5.58,0.86,2015
8,CO,Colorado,2.37,2.51,1.55,1.52,2.93,2.26,2.47,2.82,3.33,0.69,3.98,0.89,2015
9,CT,Connecticut,1.78,2.04,0.94,1.79,2.17,2.14,1.38,0.88,1.75,0.65,4.25,0.75,2015
10,DE,Delaware,1.0,1.02,0.95,0.89,1.11,0.67,1.29,1.08,2.5,0.38,2.2,0.67,2015
11,DC,"Washington, D.C.",4.64,5.99,0.66,1.93,5.37,6.58,5.35,3.36,1.0,2.1,23.81,2.54,2015
12,FL,Florida,0.68,0.77,0.32,0.24,0.68,0.91,0.93,0.69,0.5,0.15,1.86,0.51,2015
13,GA,Georgia,0.71,0.79,0.38,0.18,0.76,1.18,1.03,0.68,0.5,0.29,3.14,0.55,2015
15,HI,Hawaii,1.46,1.38,2.56,1.08,1.15,2.1,1.48,2.43,1.5,0.45,2.74,0.73,2015
16,ID,Idaho,2.25,2.37,1.4,1.67,2.47,6.67,1.75,1.67,0.0,0.63,3.7,0.89,2015
17,IL,Illinois,2.6,2.91,0.95,0.89,3.4,3.93,3.24,1.76,1.06,0.72,8.69,1.38,2015
18,IN,Indiana,0.77,0.82,0.6,0.56,0.76,0.98,0.79,0.83,1.5,0.34,1.09,0.47,2015
19,IA,Iowa,1.38,1.53,0.81,0.88,2.26,1.76,1.13,0.54,-1.0,0.36,2.12,0.26,2015
20,KS,Kansas,1.22,1.27,0.96,0.83,1.26,1.21,2.32,0.77,-8.0,0.24,2.62,0.31,2015
21,KY,Kentucky,0.71,0.74,0.54,0.46,0.6,0.88,1.06,1.07,0.71,0.24,1.15,0.2,2015
22,LA,Louisiana,0.55,0.62,0.33,0.34,0.71,0.62,0.52,0.47,0.53,0.24,1.63,0.5,2015
23,ME,Maine,1.86,1.83,2.0,1.5,3.18,2.44,1.27,1.14,-9.0,0.21,2.77,1.0,2015
24,MD,Maryland,0.84,1.01,0.37,0.51,0.98,1.04,0.8,0.79,0.63,0.4,3.9,1.07,2015
25,MA,Massachusetts,3.41,4.11,1.48,2.9,4.72,3.03,3.0,2.48,2.08,1.05,6.94,1.35,2015
26,MI,Michigan,0.9,0.96,0.6,0.46,1.12,1.15,0.9,1.22,1.8,0.22,2.42,0.76,2015
27,MN,Minnesota,3.84,4.57,1.32,2.29,4.63,4.9,3.81,2.91,2.83,0.85,7.97,1.48,2015
28,MS,Mississippi,0.3,0.3,0.32,0.23,0.34,0.47,0.47,0.09,-1.0,0.12,1.46,-9.0,2015
29,MO,Missouri,1.36,1.39,1.17,0.68,1.26,1.93,2.38,1.17,1.0,0.49,2.37,1.19,2015
30,MT,Montana,2.0,1.65,8.0,0.57,2.4,2.0,-8.0,1.5,-8.0,-9.0,2.0,2.67,2015
31,NE,Nebraska,1.42,1.43,1.33,0.52,2.33,1.94,1.0,3.0,-8.0,0.29,2.2,0.54,2015
32,NV,Nevada,0.68,0.68,0.64,0.42,0.76,0.65,0.66,1.13,0.88,0.14,1.34,0.49,2015
33,NH,New Hampshire,4.56,4.65,3.5,2.33,6.83,6.8,5.25,2.0,-1.0,-9.0,5.45,-8.0,2015
34,NJ,New Jersey,1.05,1.22,0.51,0.86,1.26,1.3,1.0,0.55,0.35,0.25,4.66,0.56,2015
35,NM,New Mexico,1.28,1.26,1.5,0.53,1.04,1.24,2.78,3.17,1.25,-9.0,3.21,0.44,2015
36,NY,New York,2.79,3.21,1.08,1.65,3.68,3.68,2.29,1.45,1.02,1.1,10.78,1.22,2015
37,NC,North Carolina,0.62,0.67,0.41,0.33,0.68,0.91,0.82,0.41,0.47,0.28,1.79,0.29,2015
38,ND,North Dakota,1.55,2.0,0.5,1.6,1.29,2.17,-1.0,-1.0,-8.0,-9.0,3.29,-1.0,2015
39,OH,Ohio,1.13,1.19,0.91,0.54,1.37,1.7,1.15,1.11,1.0,0.42,2.27,0.62,2015
40,OK,Oklahoma,0.56,0.6,0.34,0.27,0.54,0.92,0.66,0.37,-9.0,0.23,1.02,0.18,2015
41,OR,Oregon,3.09,3.2,2.17,2.68,3.74,3.75,2.22,2.28,1.6,1.58,3.9,1.14,2015
42,PA,Pennsylvania,1.5,1.64,0.98,1.16,2.01,1.76,1.23,1.03,0.62,0.61,3.84,0.7,2015
44,RI,Rhode Island,3.94,4.79,1.65,7.14,5.75,3.86,2.61,1.11,-8.0,1.08,7.08,2.14,2015
45,SC,South Carolina,0.3,0.3,0.29,0.13,0.32,0.52,0.29,0.3,1.2,0.15,0.81,0.08,2015
46,SD,South Dakota,0.83,1.0,0.43,-1.0,2.0,1.2,-1.0,0.0,0.0,-9.0,1.27,1.33,2015
47,TN,Tennessee,0.67,0.7,0.53,0.26,0.65,1.13,0.83,0.9,1.0,0.23,1.62,0.15,2015
48,TX,Texas,0.91,1.0,0.52,0.38,1.01,1.28,1.13,0.93,0.75,0.29,3.29,0.46,2015
49,UT,Utah,2.64,2.76,1.58,2.67,2.68,2.21,2.84,3.5,7.0,-1.0,4.06,0.81,2015
50,VT,Vermont,4.07,5.4,1.6,-8.0,4.2,1.8,2.8,-8.0,-8.0,-8.0,4.45,2.33,2015
51,VA,Virginia,0.94,1.01,0.61,0.38,1.13,1.02,1.57,0.8,0.82,0.18,3.43,0.42,2015
53,WA,Washington,5.54,6.16,2.3,3.28,5.61,6.93,6.11,4.52,7.67,1.48,9.29,2.43,2015
54,WV,West Virginia,1.04,1.16,0.64,0.67,1.47,0.86,1.75,0.8,-1.0,0.36,1.27,-9.0,2015
55,WI,Wisconsin,1.85,1.95,1.11,1.2,1.73,2.35,2.78,1.25,1.67,0.31,4.02,1.26,2015
56,WY,Wyoming,0.88,0.87,1.5,-1.0,1.0,1.0,-1.0,-8.0,-1.0,-9.0,0.58,0.0,2015
72,PR,Puerto Rico,0.1,0.11,0.06,-1.0,0.08,0.08,0.11,0.13,0.17,-8.0,-8.0,0.1,2015
