GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,1901,45,Y,1782,87,Y,118,5,Y,306,39,Y,754,115,Y,383,62,Y,291,46,Y,147,22,Y,24,3,Y,595,54,Y,1219,44,Y,66,35,Y,2020
2,AK,Alaska,614,102,Y,588,185,Y,32,11,Y,71,61,Y,208,181,Y,162,163,Y,89,105,Y,69,74,Y,15,16,Y,55,271,Y,437,116,Y,87,232,Y,2020
4,AZ,Arizona,4953,82,Y,4687,155,Y,264,9,Y,529,46,Y,1834,187,Y,1272,142,Y,753,89,Y,455,52,Y,114,9,Y,183,66,Y,3508,100,Y,1106,64,Y,2020
5,AR,Arkansas,855,34,Y,789,64,Y,69,5,Y,120,25,Y,320,82,Y,221,59,Y,127,35,Y,48,12,Y,16,3,Y,149,40,Y,635,35,Y,46,24,Y,2020
6,CA,California,41302,124,Y,39340,238,Y,1951,12,Y,4217,68,Y,16272,274,Y,10577,197,Y,5899,118,Y,3543,73,Y,795,14,Y,1720,90,Y,25776,204,Y,10178,82,Y,2020
8,CO,Colorado,4469,91,Y,4251,172,Y,219,9,Y,577,64,Y,1875,208,Y,1101,134,Y,575,81,Y,291,41,Y,53,6,Y,202,103,Y,3489,102,Y,641,65,Y,2020
9,CT,Connecticut,2542,83,Y,2316,155,Y,225,14,Y,457,83,Y,977,219,Y,547,124,Y,290,61,Y,233,44,Y,41,7,Y,255,81,Y,1724,83,Y,471,97,Y,2020
10,DE,Delaware,476,56,Y,444,109,Y,32,7,Y,57,40,Y,156,121,Y,102,86,Y,73,62,Y,69,49,Y,19,10,Y,105,58,Y,320,60,Y,40,52,Y,2020
11,DC,"Washington,
D.C.",6031,1054,Y,5745,2124,Y,283,94,Y,389,478,Y,2578,1655,Y,1845,1672,Y,723,995,Y,417,612,Y,90,107,Y,1875,754,Y,3522,1570,Y,479,801,Y,2020
12,FL,Florida,33369,180,Y,27604,305,Y,5747,60,Y,3695,124,Y,10252,371,Y,7579,285,Y,5880,217,Y,4642,157,Y,1294,29,Y,7467,270,Y,15598,153,Y,9489,199,Y,2020
