GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,2.58,2.91,1.21,1.4,2.84,3.39,3.71,3.46,1.36,1.07,8.3,2.05,2018
2,AK,Alaska,30.48,31.5,22.0,17.4,28.22,49.33,33.0,31.0,-8.0,106.0,65.86,77.0,2018
4,AZ,Arizona,4.74,5.15,1.97,2.86,4.92,5.63,5.64,4.83,7.0,0.98,10.88,2.37,2018
5,AR,Arkansas,2.09,2.39,0.83,1.27,2.1,3.77,2.06,1.87,1.8,0.68,4.92,1.07,2018
6,CA,California,7.18,7.68,3.46,4.1,7.55,8.8,8.28,7.98,4.48,1.85,19.73,3.37,2018
8,CO,Colorado,8.08,8.47,4.6,5.08,8.37,9.6,12.36,6.15,4.0,3.17,14.69,2.87,2018
9,CT,Connecticut,8.71,9.87,4.8,9.49,10.95,9.46,6.32,5.89,3.0,3.07,19.68,5.08,2018
10,DE,Delaware,4.39,5.31,1.45,3.14,5.29,5.38,4.2,3.77,2.5,1.57,13.4,2.92,2018
11,DC,"Washington, D.C.",18.48,22.41,4.15,6.41,25.57,25.04,15.51,13.43,10.17,7.56,141.48,14.81,2018
12,FL,Florida,3.49,4.03,1.32,1.91,3.49,4.48,4.21,3.61,2.56,1.04,8.09,3.05,2018
13,GA,Georgia,2.48,2.88,0.96,1.04,2.41,3.79,4.07,2.59,1.5,1.21,9.22,1.36,2018
15,HI,Hawaii,8.62,8.79,6.67,6.6,7.29,8.38,16.14,7.88,-8.0,2.43,14.9,9.25,2018
16,ID,Idaho,9.45,10.94,2.86,9.57,14.6,10.25,7.33,4.4,-1.0,-9.0,13.71,2.44,2018
17,IL,Illinois,9.64,10.86,3.68,5.23,12.2,12.43,8.78,8.35,5.11,2.6,31.19,6.12,2018
18,IN,Indiana,4.37,5.08,1.89,2.86,4.7,4.67,6.65,4.06,3.67,1.4,8.81,2.61,2018
19,IA,Iowa,10.13,13.02,2.63,10.3,10.95,10.56,8.8,8.38,4.67,1.61,16.59,1.71,2018
20,KS,Kansas,4.79,5.33,2.08,2.76,5.73,4.75,6.05,7.13,3.33,0.56,10.38,2.74,2018
21,KY,Kentucky,3.09,3.52,1.1,1.88,3.14,3.57,4.55,2.91,2.29,1.36,4.59,1.56,2018
22,LA,Louisiana,3.32,3.73,2.13,2.34,3.73,3.63,3.28,3.81,4.27,1.73,8.91,2.47,2018
23,ME,Maine,12.74,15.38,3.71,16.75,10.08,13.0,21.67,10.5,9.0,2.5,16.5,4.0,2018
24,MD,Maryland,4.36,5.36,1.75,3.72,5.03,5.14,3.71,3.16,2.37,2.17,20.21,3.9,2018
25,MA,Massachusetts,11.19,14.56,2.75,14.52,14.41,8.77,9.22,8.4,6.11,2.59,23.21,5.31,2018
26,MI,Michigan,4.86,5.56,2.06,3.28,5.28,6.36,5.25,5.17,2.35,1.43,12.33,2.81,2018
27,MN,Minnesota,11.75,14.28,3.12,13.03,12.44,9.83,11.12,19.27,6.33,2.68,24.77,3.28,2018
28,MS,Mississippi,1.26,1.38,0.82,0.91,1.66,1.11,1.26,1.29,1.6,0.65,4.01,0.34,2018
29,MO,Missouri,5.69,6.58,1.72,3.04,7.05,5.82,7.75,6.09,3.75,1.72,11.67,3.24,2018
30,MT,Montana,7.25,7.19,7.33,5.5,7.1,6.29,-8.0,8.5,4.0,-9.0,9.75,3.67,2018
31,NE,Nebraska,6.1,6.26,4.43,4.88,6.34,7.77,6.23,5.4,3.0,2.06,11.91,1.5,2018
32,NV,Nevada,2.8,2.92,1.92,1.67,2.77,3.45,3.51,3.58,1.33,0.59,6.38,1.94,2018
33,NH,New Hampshire,13.21,15.9,3.0,25.0,13.71,11.33,7.7,49.0,9.0,2.33,16.41,4.0,2018
34,NJ,New Jersey,4.72,5.55,1.79,3.78,6.09,5.46,3.89,2.91,1.73,1.71,17.58,2.57,2018
35,NM,New Mexico,5.31,5.91,1.62,4.95,4.85,5.42,5.63,6.92,7.5,0.83,14.69,4.29,2018
36,NY,New York,12.08,13.96,4.61,8.07,15.62,14.94,9.77,7.16,3.8,4.8,55.71,5.39,2018
37,NC,North Carolina,3.41,3.9,1.4,1.88,4.22,4.17,3.87,3.0,2.41,1.59,10.23,1.58,2018
38,ND,North Dakota,3.69,5.36,0.43,5.25,3.19,4.1,4.0,7.0,-9.0,0.45,15.25,-9.0,2018
39,OH,Ohio,5.02,5.59,2.3,3.35,5.72,5.73,5.1,4.9,5.46,1.81,9.19,3.11,2018
40,OK,Oklahoma,2.89,3.29,1.0,1.76,3.17,2.74,4.0,5.42,0.71,1.57,5.45,1.02,2018
41,OR,Oregon,11.79,12.83,5.88,10.82,12.47,12.08,12.44,10.75,5.71,7.0,17.11,3.64,2018
42,PA,Pennsylvania,8.38,9.61,4.03,6.62,10.08,9.92,7.5,5.73,4.91,3.54,21.01,3.09,2018
44,RI,Rhode Island,10.76,12.31,3.38,8.93,15.8,12.77,6.5,9.0,10.0,2.94,19.77,5.91,2018
45,SC,South Carolina,1.71,1.93,0.93,0.89,1.97,2.08,2.08,1.57,1.17,0.88,4.72,0.66,2018
46,SD,South Dakota,3.93,3.96,3.25,4.0,6.13,6.2,3.25,0.75,-8.0,1.0,7.31,6.0,2018
47,TN,Tennessee,3.53,3.98,1.53,2.26,3.53,4.56,4.87,3.75,1.75,1.55,8.49,1.33,2018
48,TX,Texas,3.99,4.51,1.54,2.28,4.48,4.92,4.32,4.1,2.8,1.27,12.92,2.55,2018
49,UT,Utah,11.48,12.15,4.2,6.75,12.79,17.94,10.38,10.86,4.67,1.88,16.73,4.68,2018
50,VT,Vermont,15.06,16.8,6.67,17.33,17.25,11.8,13.33,20.0,13.0,4.0,17.21,-8.0,2018
51,VA,Virginia,3.85,4.45,1.38,2.1,4.59,4.43,4.75,2.93,2.84,0.93,12.29,2.27,2018
53,WA,Washington,14.87,19.04,3.37,13.55,18.83,14.91,13.07,8.34,13.63,2.42,27.38,9.22,2018
54,WV,West Virginia,4.4,5.32,1.65,4.07,4.53,3.88,4.13,13.0,15.0,1.76,5.48,4.0,2018
55,WI,Wisconsin,8.41,8.98,4.36,6.74,8.97,10.27,8.7,10.33,2.56,1.52,20.35,4.1,2018
56,WY,Wyoming,5.58,5.45,8.0,-8.0,2.89,5.0,8.0,-8.0,-8.0,-8.0,4.67,0.0,2018
72,PR,Puerto Rico,0.44,0.45,0.35,0.16,0.5,0.62,0.51,0.37,0.14,-9.0,9.0,0.38,2018
