GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
45,SC,South Carolina,712,17,Y,639,31,Y,72,3,Y,74,9,Y,282,42,Y,180,30,Y,120,18,Y,48,7,Y,12,1,Y,232,21,Y,449,16,Y,14,7,Y,2017
46,SD,South Dakota,63,9,Y,55,15,Y,8,2,N,7,5,N,31,27,Y,16,16,Y,6,6,N,5,4,N,0,0,-9,-9,-9,-9,58,10,Y,-1,-1,-9,2017
47,TN,Tennessee,1690,30,Y,1539,56,Y,151,5,Y,235,23,Y,669,73,Y,380,46,Y,290,33,Y,99,11,Y,20,2,Y,398,43,Y,1200,28,Y,58,23,Y,2017
48,TX,Texas,11531,50,Y,10726,95,Y,796,7,Y,1450,30,Y,4621,110,Y,2736,72,Y,1807,51,Y,752,24,Y,168,5,Y,1095,40,Y,6970,68,Y,3031,36,Y,2017
49,UT,Utah,958,39,Y,925,76,Y,33,3,Y,102,17,Y,407,89,Y,250,59,Y,129,41,Y,54,18,Y,17,5,Y,11,41,N,820,42,Y,87,28,Y,2017
50,VT,Vermont,193,36,Y,179,67,Y,15,5,Y,34,33,Y,53,73,Y,36,52,Y,40,48,Y,23,24,Y,8,7,N,6,97,N,172,34,Y,18,184,Y,2017
51,VA,Virginia,2218,31,Y,2076,60,Y,134,4,Y,270,20,Y,922,78,Y,493,45,Y,336,29,Y,153,14,Y,39,3,Y,314,23,Y,1592,35,Y,188,31,Y,2017
53,WA,Washington,5671,91,Y,5332,172,Y,337,11,Y,651,59,Y,2272,202,Y,1406,144,Y,902,96,Y,338,35,Y,102,9,Y,248,106,Y,4462,101,Y,622,91,Y,2017
54,WV,West Virginia,281,18,Y,249,33,Y,32,4,Y,52,20,Y,96,44,Y,53,24,Y,50,21,Y,20,8,Y,17,5,Y,11,21,N,258,18,Y,8,36,N,2017
55,WI,Wisconsin,1235,25,Y,1161,48,Y,74,3,Y,190,20,Y,457,62,Y,273,39,Y,205,27,Y,86,11,Y,25,3,Y,83,29,Y,984,24,Y,127,45,Y,2017
56,WY,Wyoming,46,10,Y,41,17,Y,5,2,N,6,7,N,15,19,Y,8,11,N,7,11,N,5,6,N,3,3,N,3,57,N,23,6,Y,0,0,-9,2017
72,PR,Puerto Rico,129,4,Y,112,8,Y,18,1,Y,10,2,N,41,10,Y,34,8,Y,24,5,Y,10,2,N,5,1,N,-9,-9,-9,-9,-9,-9,129,-9,-9,2017
