GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,144,4,Y,106,5,Y,38,2,Y,12,2,Y,48,8,Y,43,7,Y,24,4,Y,14,2,Y,3,0,N,62,6,Y,68,2,Y,-9,-9,-9,2014
2,AK,Alaska,194,32,Y,149,47,Y,45,16,Y,15,12,Y,29,25,Y,62,68,Y,57,58,Y,26,28,Y,9,13,N,18,90,Y,152,39,Y,9,25,N,2014
4,AZ,Arizona,331,6,Y,247,9,Y,84,3,Y,33,3,Y,116,13,Y,101,12,Y,58,7,Y,17,2,Y,7,1,N,4,2,N,271,8,Y,31,2,Y,2014
5,AR,Arkansas,40,2,Y,32,3,Y,10,1,N,11,2,N,12,3,Y,11,3,N,6,2,N,3,1,N,0,0,-9,11,3,N,29,2,Y,-9,-9,-9,2014
6,CA,California,4474,14,Y,4097,26,Y,366,2,Y,322,5,Y,1566,27,Y,1245,24,Y,951,18,Y,306,7,Y,80,2,Y,164,9,Y,3154,24,Y,765,7,Y,2014
8,CO,Colorado,308,7,Y,261,12,Y,48,2,Y,37,4,Y,122,15,Y,83,11,Y,51,7,Y,14,2,Y,4,1,N,18,10,Y,229,7,Y,36,4,Y,2014
9,CT,Connecticut,196,6,Y,156,11,Y,40,3,Y,39,7,Y,69,16,Y,42,10,Y,27,5,Y,16,3,Y,5,1,N,20,7,Y,139,6,Y,34,8,Y,2014
10,DE,Delaware,60,8,Y,43,11,Y,17,4,Y,8,5,N,23,19,Y,11,10,N,14,11,Y,5,4,N,-1,-1,-9,14,9,Y,37,7,Y,7,12,N,2014
11,DC,"Washington,
D.C.",688,120,Y,631,234,Y,48,16,Y,46,44,Y,307,200,Y,186,201,Y,104,136,Y,42,61,Y,7,9,N,189,72,Y,439,201,Y,52,94,Y,2014
12,FL,Florida,1201,7,Y,942,11,Y,260,3,Y,105,4,Y,347,14,Y,304,13,Y,291,11,Y,120,5,Y,35,1,Y,158,6,Y,735,7,Y,261,7,Y,2014
13,GA,Georgia,901,11,Y,762,19,Y,140,3,Y,67,4,Y,280,20,Y,269,20,Y,205,15,Y,63,5,Y,15,1,Y,282,11,Y,522,11,Y,53,8,Y,2014
15,HI,Hawaii,78,7,Y,67,11,Y,11,2,N,4,2,N,24,12,Y,17,10,Y,20,11,Y,9,5,N,6,3,N,-9,-9,-9,39,14,Y,8,8,N,2014
16,ID,Idaho,31,2,Y,25,4,Y,5,1,N,-1,-1,-9,12,6,Y,12,6,Y,3,2,N,3,2,N,0,0,-9,-9,-9,-9,9,1,N,-9,-9,-9,2014
17,IL,Illinois,1705,16,Y,1541,29,Y,166,3,Y,180,9,Y,725,40,Y,449,27,Y,253,14,Y,70,4,Y,29,2,Y,207,14,Y,1196,17,Y,201,13,Y,2014
18,IN,Indiana,180,3,Y,125,5,Y,53,2,Y,26,2,Y,71,8,Y,41,5,Y,27,3,Y,13,2,Y,3,0,N,21,4,Y,133,3,Y,15,5,Y,2014
19,IA,Iowa,56,2,Y,43,3,Y,14,1,Y,8,2,N,18,5,Y,16,4,Y,9,2,N,4,1,N,3,1,N,-9,-9,-9,46,2,Y,-1,-1,-9,2014
20,KS,Kansas,71,3,Y,52,4,Y,23,2,Y,14,3,Y,21,5,Y,22,6,Y,9,2,N,4,1,N,-1,-1,-9,10,7,N,51,3,Y,4,2,N,2014
21,KY,Kentucky,81,2,Y,59,3,Y,23,1,Y,14,2,Y,19,3,Y,24,4,Y,20,3,Y,5,1,N,-1,-1,-9,5,2,N,62,2,Y,7,7,N,2014
22,LA,Louisiana,255,7,Y,180,10,Y,73,4,Y,33,4,Y,75,11,Y,63,11,Y,61,10,Y,21,4,Y,4,1,N,119,10,Y,113,5,Y,20,12,Y,2014
23,ME,Maine,47,4,Y,39,7,Y,8,1,N,6,3,N,16,11,Y,12,8,Y,12,6,Y,-1,-1,-9,-9,-9,-9,-1,-1,-9,36,3,Y,3,20,N,2014
24,MD,Maryland,397,8,Y,320,13,Y,77,3,Y,49,5,Y,152,19,Y,83,11,Y,71,8,Y,33,4,Y,11,1,N,104,7,Y,243,9,Y,34,8,Y,2014
25,MA,Massachusetts,936,16,Y,714,26,Y,223,7,Y,150,13,Y,315,34,Y,197,24,Y,188,19,Y,73,8,Y,13,1,Y,65,17,Y,696,16,Y,111,20,Y,2014
26,MI,Michigan,250,3,Y,203,5,Y,47,1,Y,47,3,Y,82,7,Y,43,4,Y,49,4,Y,20,1,Y,11,1,N,47,4,Y,177,3,Y,13,4,Y,2014
27,MN,Minnesota,533,12,Y,424,19,Y,106,5,Y,76,9,Y,205,27,Y,128,19,Y,93,12,Y,25,4,Y,9,1,N,68,29,Y,418,11,Y,20,10,Y,2014
28,MS,Mississippi,62,3,Y,44,4,Y,18,1,Y,20,4,Y,16,4,Y,20,5,Y,10,3,N,3,1,N,-1,-1,-9,19,2,Y,34,2,Y,-9,-9,-9,2014
29,MO,Missouri,231,5,Y,183,7,Y,48,2,Y,38,4,Y,75,9,Y,51,7,Y,48,6,Y,17,2,Y,3,0,N,32,6,Y,177,4,Y,11,6,N,2014
30,MT,Montana,15,2,Y,10,2,N,5,1,N,-1,-1,-9,5,4,N,5,4,N,4,3,N,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,1,N,-9,-9,-9,2014
31,NE,Nebraska,42,3,Y,35,5,Y,8,1,N,4,1,N,15,6,Y,18,8,Y,8,3,N,-9,-9,-9,0,0,-9,8,12,N,31,2,Y,-9,-9,-9,2014
32,NV,Nevada,112,5,Y,85,7,Y,30,3,Y,15,3,Y,34,8,Y,31,8,Y,19,5,Y,11,3,N,5,1,N,6,3,N,69,5,Y,25,4,Y,2014
33,NH,"New
Hampshire",42,4,Y,41,7,Y,-1,-1,-9,3,1,N,10,6,N,12,8,Y,13,6,Y,4,2,N,-1,-1,-9,-9,-9,-9,37,3,Y,4,12,N,2014
34,NJ,New Jersey,507,7,Y,379,11,Y,126,3,Y,71,5,Y,184,16,Y,109,9,Y,82,6,Y,44,4,Y,21,2,Y,78,8,Y,274,6,Y,110,8,Y,2014
35,NM,New Mexico,89,5,Y,74,9,Y,15,2,Y,5,1,N,27,10,Y,19,8,Y,27,10,Y,11,4,N,-1,-1,-9,-9,-9,-9,62,9,Y,22,3,Y,2014
36,NY,New York,3037,18,Y,2730,34,Y,303,4,Y,298,9,Y,1355,48,Y,765,31,Y,434,16,Y,149,6,Y,42,1,Y,367,15,Y,2005,21,Y,496,17,Y,2014
37,NC,North Carolina,326,4,Y,253,6,Y,73,2,Y,42,3,Y,90,7,Y,98,8,Y,65,5,Y,27,2,Y,5,0,N,85,5,Y,204,4,Y,14,2,Y,2014
38,ND,North Dakota,13,2,Y,11,4,N,-1,-1,-9,-1,-1,-9,6,6,N,6,7,N,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2014
39,OH,Ohio,388,4,Y,279,6,Y,111,2,Y,66,4,Y,121,8,Y,104,7,Y,66,4,Y,32,2,Y,-9,-9,-9,84,7,Y,273,3,Y,13,4,Y,2014
40,OK,Oklahoma,48,2,Y,40,3,Y,8,0,N,8,1,N,17,3,Y,12,3,Y,6,1,N,6,1,N,-1,-1,-9,6,3,N,39,2,Y,-1,-1,-9,2014
41,OR,Oregon,243,7,Y,217,13,Y,27,2,Y,27,4,Y,92,17,Y,68,13,Y,47,9,Y,10,2,N,-1,-1,-9,17,29,Y,202,8,Y,12,3,Y,2014
42,PA,Pennsylvania,734,7,Y,564,11,Y,169,3,Y,158,8,Y,281,17,Y,143,9,Y,95,5,Y,44,2,Y,12,1,Y,136,12,Y,500,6,Y,62,10,Y,2014
44,RI,Rhode Island,144,16,Y,111,25,Y,33,7,Y,31,17,Y,55,40,Y,26,21,Y,21,14,Y,10,7,N,-1,-1,-9,3,6,N,107,15,Y,23,20,Y,2014
45,SC,South Carolina,110,3,Y,79,4,Y,32,2,Y,21,3,Y,28,4,Y,23,4,Y,21,3,Y,15,2,Y,3,0,N,33,3,Y,67,3,Y,4,2,N,2014
46,SD,South Dakota,15,2,Y,11,3,N,4,1,N,5,4,N,5,4,N,-1,-1,-9,-1,-1,-9,-9,-9,-9,-1,-1,-9,-9,-9,-9,10,2,N,4,20,N,2014
47,TN,Tennessee,185,3,Y,138,5,Y,48,2,Y,24,2,Y,57,7,Y,57,7,Y,36,4,Y,12,1,Y,3,0,N,28,3,Y,144,3,Y,-1,-1,-9,2014
48,TX,Texas,1702,8,Y,1353,13,Y,348,3,Y,165,3,Y,599,15,Y,476,13,Y,317,9,Y,122,4,Y,21,1,Y,202,8,Y,1012,10,Y,370,5,Y,2014
49,UT,Utah,87,4,Y,70,6,Y,16,1,Y,8,1,N,32,7,Y,34,9,Y,13,4,Y,-1,-1,-9,-9,-9,-9,5,22,N,74,4,Y,5,2,N,2014
50,VT,Vermont,17,3,Y,15,6,Y,3,1,N,-9,-9,-9,5,7,N,6,8,N,4,4,N,-1,-1,-9,-1,-1,-9,-9,-9,-9,15,3,Y,-9,-9,-9,2014
51,VA,Virginia,369,5,Y,291,9,Y,75,2,Y,52,4,Y,122,10,Y,80,7,Y,77,7,Y,33,3,Y,3,0,N,64,5,Y,259,6,Y,18,3,Y,2014
53,WA,Washington,957,16,Y,852,29,Y,106,4,Y,89,8,Y,335,33,Y,270,29,Y,180,19,Y,68,7,Y,17,2,Y,52,25,Y,772,18,Y,84,14,Y,2014
54,WV,West Virginia,33,2,Y,23,3,Y,10,1,N,5,2,N,8,4,N,10,4,N,7,3,N,-1,-1,-9,-1,-1,-9,3,6,N,22,1,Y,-1,-1,-9,2014
55,WI,Wisconsin,178,4,Y,141,6,Y,37,2,Y,19,2,Y,72,10,Y,49,7,Y,25,3,Y,9,1,N,4,0,N,6,2,N,146,4,Y,13,5,Y,2014
56,WY,Wyoming,19,4,Y,19,8,Y,0,0,-9,-9,-9,-9,11,13,N,7,10,N,0,0,-9,0,0,-9,-1,-1,-9,-9,-9,-9,13,3,Y,-9,-9,-9,2014
72,PR,Puerto Rico,63,2,Y,39,3,Y,25,2,Y,3,0,N,10,2,N,19,4,Y,21,5,Y,8,2,N,3,0,N,-9,-9,-9,-9,-9,-9,63,-9,-9,2014
