GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,0.22,0.2,0.29,0.06,0.22,0.39,0.32,0.37,0.25,0.14,0.47,-9.0,2014
2,AK,Alaska,5.24,4.97,6.43,2.14,1.81,12.4,9.5,8.67,-8.0,3.0,11.69,3.0,2014
4,AZ,Arizona,0.45,0.4,0.76,0.2,0.48,0.63,0.55,0.4,0.5,0.03,1.09,0.11,2014
5,AR,Arkansas,0.13,0.12,0.22,0.11,0.15,0.21,0.12,0.19,0.0,0.08,0.27,-9.0,2014
6,CA,California,0.87,0.9,0.64,0.32,0.9,1.13,1.12,0.88,0.93,0.22,2.31,0.32,2014
8,CO,Colorado,0.81,0.79,1.0,0.58,0.9,0.89,0.76,0.93,0.8,0.27,1.32,0.31,2014
9,CT,Connecticut,0.67,0.73,0.53,0.76,0.87,0.84,0.38,0.57,0.42,0.16,1.83,0.44,2014
10,DE,Delaware,0.52,0.61,0.39,0.4,0.72,0.37,0.67,0.5,-1.0,0.22,1.19,0.78,2014
11,DC,"Washington, D.C.",1.69,1.93,0.61,0.58,2.42,2.16,1.7,1.11,0.5,0.69,7.2,1.11,2014
12,FL,Florida,0.28,0.28,0.28,0.13,0.27,0.37,0.34,0.31,0.28,0.08,0.68,0.22,2014
13,GA,Georgia,0.38,0.4,0.32,0.12,0.37,0.61,0.56,0.35,0.35,0.18,1.52,0.24,2014
15,HI,Hawaii,0.8,0.75,1.22,0.31,0.67,0.65,1.82,1.0,2.0,-9.0,1.18,1.14,2014
16,ID,Idaho,1.41,1.14,-8.0,-1.0,1.71,1.71,1.0,1.5,0.0,-8.0,0.53,-9.0,2014
17,IL,Illinois,1.12,1.2,0.67,0.42,1.45,1.64,1.21,0.74,1.21,0.29,3.41,0.59,2014
18,IN,Indiana,0.39,0.33,0.61,0.2,0.47,0.51,0.41,0.41,1.0,0.11,0.72,0.25,2014
19,IA,Iowa,0.6,0.56,0.82,0.47,0.67,0.89,0.56,0.29,1.5,-9.0,0.7,-1.0,2014
20,KS,Kansas,0.55,0.51,0.85,0.45,0.51,1.05,0.38,0.36,-1.0,0.37,0.89,0.15,2014
21,KY,Kentucky,0.24,0.21,0.4,0.22,0.18,0.29,0.32,0.24,-1.0,0.05,0.34,0.2,2014
22,LA,Louisiana,0.22,0.21,0.24,0.1,0.2,0.27,0.4,0.26,0.27,0.15,0.46,0.24,2014
23,ME,Maine,0.72,0.85,0.42,0.55,2.0,0.92,0.6,-1.0,-9.0,-1.0,0.95,0.75,2014
24,MD,Maryland,0.32,0.37,0.21,0.2,0.42,0.3,0.35,0.32,0.35,0.12,1.93,0.3,2014
25,MA,Massachusetts,1.46,1.5,1.35,1.58,1.67,1.47,1.27,1.38,0.57,0.31,3.18,0.64,2014
26,MI,Michigan,0.32,0.32,0.33,0.2,0.33,0.36,0.45,0.43,0.65,0.1,0.81,0.23,2014
27,MN,Minnesota,1.77,1.81,1.58,1.46,2.07,1.64,2.07,1.32,1.13,0.67,3.1,0.51,2014
28,MS,Mississippi,0.13,0.12,0.17,0.13,0.1,0.3,0.18,0.08,-1.0,0.05,0.5,-9.0,2014
29,MO,Missouri,0.5,0.47,0.63,0.28,0.49,0.62,0.8,0.65,0.5,0.14,0.96,0.42,2014
30,MT,Montana,1.07,0.91,1.67,-1.0,0.83,1.25,2.0,-8.0,-8.0,-8.0,0.82,-9.0,2014
31,NE,Nebraska,0.48,0.45,0.8,0.27,0.5,0.75,0.5,-9.0,0.0,0.32,0.67,-9.0,2014
32,NV,Nevada,0.26,0.23,0.58,0.15,0.23,0.39,0.25,0.44,1.67,0.07,0.46,0.17,2014
33,NH,New Hampshire,1.05,1.24,-1.0,0.38,0.83,2.0,1.44,1.0,-1.0,-9.0,1.54,0.57,2014
34,NJ,New Jersey,0.41,0.41,0.41,0.32,0.5,0.43,0.37,0.36,0.57,0.16,1.57,0.24,2014
35,NM,New Mexico,0.67,0.64,0.83,0.2,0.53,0.76,1.29,1.1,-1.0,-9.0,2.3,0.31,2014
36,NY,New York,0.92,1.05,0.44,0.45,1.31,1.11,0.8,0.56,0.4,0.31,3.17,0.44,2014
37,NC,North Carolina,0.25,0.24,0.28,0.11,0.23,0.43,0.34,0.28,0.24,0.11,0.74,0.11,2014
38,ND,North Dakota,0.65,0.65,-1.0,-1.0,2.0,1.2,-9.0,-9.0,-8.0,-9.0,-9.0,-8.0,2014
39,OH,Ohio,0.41,0.34,0.87,0.25,0.41,0.59,0.54,0.52,-9.0,0.19,0.82,0.16,2014
40,OK,Oklahoma,0.16,0.16,0.16,0.12,0.16,0.2,0.12,0.3,-1.0,0.09,0.27,-1.0,2014
41,OR,Oregon,1.03,1.02,1.23,0.96,1.14,1.21,1.02,0.5,-1.0,1.31,1.31,0.24,2014
42,PA,Pennsylvania,0.62,0.6,0.69,0.61,0.83,0.62,0.42,0.42,0.39,0.23,1.54,0.33,2014
44,RI,Rhode Island,1.6,1.5,2.06,2.07,2.29,1.18,1.31,0.83,-1.0,0.19,2.97,0.74,2014
45,SC,South Carolina,0.15,0.13,0.24,0.09,0.13,0.22,0.17,0.27,0.2,0.07,0.4,0.15,2014
46,SD,South Dakota,0.52,0.61,0.36,2.5,0.63,-1.0,-1.0,-9.0,-8.0,-9.0,0.83,4.0,2014
47,TN,Tennessee,0.25,0.23,0.3,0.11,0.25,0.38,0.34,0.27,0.17,0.07,0.6,-1.0,2014
48,TX,Texas,0.39,0.38,0.43,0.14,0.41,0.54,0.5,0.51,0.31,0.14,1.28,0.2,2014
49,UT,Utah,0.76,0.71,1.0,0.4,0.7,1.21,1.18,-1.0,-9.0,0.5,1.25,0.16,2014
50,VT,Vermont,1.06,1.36,0.6,-9.0,5.0,2.0,1.0,-1.0,-1.0,-9.0,1.67,-9.0,2014
51,VA,Virginia,0.41,0.41,0.39,0.22,0.44,0.47,0.56,0.49,0.2,0.13,1.08,0.19,2014
53,WA,Washington,2.19,2.36,1.41,1.29,2.6,2.43,1.98,2.83,1.42,0.61,3.62,1.12,2014
54,WV,West Virginia,0.4,0.34,0.67,0.24,0.4,0.48,0.54,-1.0,-1.0,0.27,0.34,-1.0,2014
55,WI,Wisconsin,0.82,0.75,1.28,0.3,1.14,1.32,0.61,0.82,4.0,0.07,2.21,0.3,2014
56,WY,Wyoming,1.9,2.38,0.0,-8.0,2.2,2.33,0.0,-8.0,-8.0,-9.0,2.6,-9.0,2014
72,PR,Puerto Rico,0.1,0.08,0.18,0.02,0.06,0.14,0.22,0.12,0.12,-8.0,-9.0,0.1,2014
