GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,1867,45,Y,1724,87,Y,142,7,Y,339,45,Y,706,109,Y,372,63,Y,291,47,Y,137,21,Y,28,3,Y,609,57,Y,1165,42,Y,62,40,Y,2019
2,AK,Alaska,678,113,Y,629,201,Y,48,17,Y,80,69,Y,245,208,Y,166,173,Y,113,133,Y,60,64,Y,17,19,Y,76,377,Y,469,125,Y,106,269,Y,2019
4,AZ,Arizona,4500,74,Y,4260,141,Y,239,8,Y,526,45,Y,1716,170,Y,1088,121,Y,679,80,Y,409,46,Y,86,7,Y,139,52,Y,3254,93,Y,979,55,Y,2019
5,AR,Arkansas,708,28,Y,643,53,Y,67,5,Y,108,23,Y,256,65,Y,188,51,Y,100,28,Y,46,12,Y,10,2,N,132,35,Y,514,28,Y,47,27,Y,2019
6,CA,California,40131,121,Y,37933,232,Y,2189,13,Y,4587,74,Y,15838,262,Y,9841,186,Y,5857,118,Y,3286,69,Y,703,12,Y,1630,86,Y,25324,198,Y,9479,77,Y,2019
8,CO,Colorado,4017,83,Y,3794,155,Y,223,9,Y,496,56,Y,1760,193,Y,976,122,Y,525,74,Y,224,31,Y,43,5,Y,171,88,Y,3164,93,Y,565,58,Y,2019
9,CT,Connecticut,2672,87,Y,2362,159,Y,309,20,Y,515,91,Y,1031,230,Y,531,124,Y,323,68,Y,230,45,Y,44,7,Y,323,104,Y,1762,85,Y,479,102,Y,2019
10,DE,Delaware,449,54,Y,419,106,Y,31,7,Y,59,42,Y,158,122,Y,90,80,Y,66,56,Y,55,40,Y,21,11,Y,101,57,Y,296,56,Y,38,55,Y,2019
11,DC,"Washington,
D.C.",5937,982,Y,5617,1982,Y,317,99,Y,430,431,Y,2695,1638,Y,1640,1505,Y,719,968,Y,395,565,Y,78,89,Y,1928,734,Y,3415,1430,Y,463,748,Y,2019
12,FL,Florida,21299,115,Y,18896,211,Y,2391,25,Y,2292,78,Y,7343,262,Y,4998,192,Y,3789,140,Y,2278,79,Y,554,12,Y,3492,128,Y,11230,110,Y,5956,127,Y,2019
