GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,3398,79,Y,3105,151,Y,293,13,Y,641,79,Y,1290,196,Y,710,114,Y,429,69,Y,254,38,Y,76,8,Y,1129,102,Y,2126,75,Y,102,51,Y,2022
2,AK,Alaska,704,116,Y,667,209,Y,39,14,Y,64,55,Y,257,227,Y,200,193,Y,91,110,Y,74,84,Y,19,19,Y,84,415,Y,498,133,Y,78,197,Y,2022
4,AZ,Arizona,8297,133,Y,7879,254,Y,417,13,Y,1038,88,Y,3182,313,Y,2103,226,Y,1002,117,Y,759,86,Y,219,16,Y,260,88,Y,5520,156,Y,2252,124,Y,2022
5,AR,Arkansas,1728,68,Y,1623,130,Y,107,8,Y,260,53,Y,668,168,Y,434,113,Y,227,63,Y,109,29,Y,33,6,Y,290,77,Y,1275,69,Y,117,57,Y,2022
6,CA,California,60540,183,Y,57292,349,Y,3221,19,Y,6703,110,Y,23883,415,Y,15895,294,Y,7580,155,Y,4926,104,Y,1552,25,Y,2686,142,Y,35076,289,Y,16932,134,Y,2022
8,CO,Colorado,7576,152,Y,7211,286,Y,364,15,Y,937,104,Y,3252,355,Y,1983,233,Y,804,113,Y,488,71,Y,112,12,Y,391,194,Y,5811,169,Y,1150,112,Y,2022
9,CT,Connecticut,3961,128,Y,3652,241,Y,310,19,Y,625,112,Y,1541,341,Y,865,188,Y,451,100,Y,385,75,Y,93,14,Y,345,105,Y,2769,135,Y,711,138,Y,2022
10,DE,Delaware,834,96,Y,790,189,Y,45,10,Y,105,71,Y,260,202,Y,211,170,Y,101,87,Y,113,79,Y,45,21,Y,159,83,Y,582,108,Y,77,93,Y,2022
11,DC,"Washington,
D.C.",7631,1328,Y,7307,2713,Y,316,103,Y,526,551,Y,3145,2161,Y,2445,2196,Y,876,1231,Y,523,812,Y,127,146,Y,2313,951,Y,4457,1954,Y,602,983,Y,2022
12,FL,Florida,44952,234,Y,38682,413,Y,6226,63,Y,5312,173,Y,14529,517,Y,10692,382,Y,7029,257,Y,5556,185,Y,1756,37,Y,8807,311,Y,22741,219,Y,12196,242,Y,2022
13,GA,Georgia,13641,149,Y,12676,287,Y,962,20,Y,1701,95,Y,5154,341,Y,3390,233,Y,1979,141,Y,1167,87,Y,258,16,Y,4621,160,Y,7757,164,Y,930,103,Y,2022
15,HI,Hawaii,1498,122,Y,1435,235,Y,62,10,Y,157,80,Y,541,284,Y,417,217,Y,191,113,Y,141,79,Y,43,15,Y,32,131,Y,689,247,Y,179,174,Y,2022
16,ID,Idaho,1014,63,Y,965,119,Y,50,6,Y,179,54,Y,377,150,Y,254,100,Y,124,56,Y,69,30,Y,15,5,Y,22,178,Y,834,63,Y,148,75,Y,2022
17,IL,Illinois,21328,200,Y,20130,384,Y,1198,22,Y,2529,129,Y,8885,523,Y,5544,331,Y,2496,160,Y,1514,94,Y,362,17,Y,2681,183,Y,14035,216,Y,3829,203,Y,2022
18,IN,Indiana,5436,95,Y,5048,179,Y,388,13,Y,897,80,Y,2112,235,Y,1216,141,Y,669,82,Y,442,51,Y,103,9,Y,725,134,Y,4226,95,Y,362,82,Y,2022
