GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,3.21,3.91,0.86,1.89,3.54,4.16,4.34,3.27,1.71,1.52,8.77,2.13,2020
2,AK,Alaska,21.17,23.52,8.0,11.83,20.8,18.0,89.0,23.0,-8.0,55.0,48.56,21.75,2020
4,AZ,Arizona,7.64,8.35,3.03,3.95,7.14,11.78,9.3,7.98,10.36,1.99,15.59,4.21,2020
5,AR,Arkansas,3.5,3.95,1.57,1.88,3.6,5.97,3.97,3.0,2.67,1.38,6.68,1.84,2020
6,CA,California,9.98,10.88,3.73,6.01,9.94,12.31,10.67,11.81,9.14,2.63,27.22,4.73,2020
8,CO,Colorado,13.79,15.13,5.09,10.69,14.88,14.12,15.97,12.13,8.83,3.42,24.23,5.99,2020
9,CT,Connecticut,14.44,17.68,5.0,14.28,16.02,14.39,12.08,12.94,13.67,4.55,35.92,7.14,2020
10,DE,Delaware,5.17,5.84,2.0,3.8,4.11,6.38,9.13,4.93,19.0,2.06,12.31,3.33,2020
11,DC,"Washington, D.C.",30.61,36.13,7.45,10.24,33.92,65.89,24.93,19.86,18.0,13.59,146.75,20.83,2020
12,FL,Florida,10.52,10.86,9.12,6.91,9.69,11.71,12.35,13.9,10.61,5.75,20.94,9.12,2020
13,GA,Georgia,4.85,5.59,1.87,2.56,4.47,7.11,7.46,5.67,5.29,2.38,18.49,2.86,2020
15,HI,Hawaii,16.53,18.2,5.71,45.5,22.64,18.42,10.54,8.2,16.5,6.5,33.5,18.57,2020
16,ID,Idaho,17.86,18.88,6.67,17.14,16.93,31.2,21.25,9.75,4.5,5.33,27.74,8.18,2020
17,IL,Illinois,14.03,15.93,4.43,6.81,15.31,19.97,18.19,11.04,11.44,3.2,50.5,10.26,2020
18,IN,Indiana,7.43,8.57,2.85,6.01,7.94,7.83,7.27,10.04,3.27,2.35,13.99,3.89,2020
19,IA,Iowa,15.44,18.58,4.27,9.77,19.09,16.0,14.62,59.5,3.8,2.22,26.94,8.57,2020
20,KS,Kansas,6.7,7.41,2.82,5.14,6.59,7.0,7.5,9.0,17.0,1.13,11.54,3.41,2020
21,KY,Kentucky,5.56,6.11,2.39,4.04,6.36,4.82,6.44,5.95,8.67,2.72,7.87,1.63,2020
22,LA,Louisiana,4.62,5.1,3.02,2.75,5.3,4.77,5.35,6.6,6.27,2.32,13.8,2.76,2020
23,ME,Maine,39.07,50.73,7.0,90.0,51.0,28.5,100.0,23.33,6.0,6.67,45.92,-8.0,2020
24,MD,Maryland,7.2,8.62,2.99,5.11,8.94,8.25,6.84,4.75,4.58,3.54,31.93,4.68,2020
25,MA,Massachusetts,21.26,27.45,5.05,28.24,24.0,20.09,16.81,18.6,9.06,4.99,42.56,9.5,2020
26,MI,Michigan,9.1,10.1,4.15,5.78,9.94,11.95,9.04,9.5,8.18,2.29,26.34,5.28,2020
27,MN,Minnesota,19.13,21.68,5.64,11.6,22.42,21.4,18.84,20.65,11.4,3.05,55.38,5.79,2020
28,MS,Mississippi,2.34,2.43,1.91,1.58,2.24,3.4,3.1,2.52,3.8,1.29,6.69,1.06,2020
29,MO,Missouri,9.32,11.14,2.42,5.99,9.96,10.44,9.25,12.04,18.0,3.47,15.99,5.97,2020
30,MT,Montana,20.64,22.08,11.5,28.0,14.0,73.0,10.5,-8.0,-8.0,-8.0,20.38,17.0,2020
31,NE,Nebraska,9.65,11.68,2.5,15.29,10.93,8.94,6.08,7.0,13.0,2.12,19.42,1.89,2020
32,NV,Nevada,5.93,6.41,3.04,4.13,5.62,9.11,5.52,5.35,5.5,0.86,12.39,4.98,2020
33,NH,New Hampshire,20.56,21.52,11.67,18.33,17.0,70.5,15.0,17.0,-8.0,8.0,24.4,6.75,2020
34,NJ,New Jersey,7.99,9.37,2.39,6.59,9.28,9.94,6.35,5.97,3.05,2.45,34.99,3.95,2020
35,NM,New Mexico,8.88,9.27,5.31,8.19,7.73,8.94,9.4,12.2,-8.0,12.33,26.9,7.16,2020
36,NY,New York,17.14,19.58,6.63,9.36,19.4,24.5,15.93,12.8,7.34,6.06,67.78,8.27,2020
37,NC,North Carolina,5.63,6.25,2.47,3.3,6.34,6.59,7.35,6.65,3.15,2.68,15.96,2.36,2020
38,ND,North Dakota,5.63,7.36,0.6,8.6,5.38,5.88,3.57,11.0,-1.0,1.18,15.25,-9.0,2020
39,OH,Ohio,7.89,8.94,3.16,5.16,9.29,9.85,7.2,6.58,7.63,2.37,16.23,6.53,2020
40,OK,Oklahoma,4.35,4.7,2.13,2.81,5.17,4.33,5.23,4.5,3.29,2.1,8.34,1.79,2020
41,OR,Oregon,20.65,21.59,13.62,14.3,20.49,25.87,26.42,17.71,11.0,12.46,29.63,7.26,2020
42,PA,Pennsylvania,13.61,15.59,5.8,10.66,15.34,17.18,11.01,11.01,11.5,4.82,34.56,5.86,2020
