GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,2742,65,Y,2519,123,Y,221,10,Y,498,62,Y,1103,168,Y,526,85,Y,358,58,Y,213,32,Y,46,5,Y,875,79,Y,1724,61,Y,106,55,Y,2021
2,AK,Alaska,605,100,Y,573,179,Y,29,10,Y,63,54,Y,214,188,Y,153,150,Y,100,120,Y,63,69,Y,12,12,Y,60,296,Y,425,113,Y,76,197,Y,2021
4,AZ,Arizona,6627,108,Y,6302,206,Y,318,10,Y,771,67,Y,2618,262,Y,1608,176,Y,877,103,Y,598,68,Y,160,12,Y,244,86,Y,4447,126,Y,1735,98,Y,2021
5,AR,Arkansas,1315,52,Y,1219,98,Y,99,8,Y,195,40,Y,516,131,Y,333,88,Y,173,48,Y,77,20,Y,22,4,Y,228,60,Y,960,52,Y,99,50,Y,2021
6,CA,California,49240,149,Y,46845,286,Y,2353,14,Y,5225,86,Y,19611,336,Y,12727,236,Y,6493,132,Y,4118,86,Y,1060,18,Y,2128,112,Y,29158,236,Y,13140,105,Y,2021
8,CO,Colorado,5934,120,Y,5656,227,Y,277,11,Y,780,87,Y,2579,284,Y,1438,172,Y,691,97,Y,381,54,Y,66,7,Y,285,144,Y,4553,133,Y,925,92,Y,2021
9,CT,Connecticut,3152,102,Y,2900,192,Y,248,16,Y,522,93,Y,1239,274,Y,686,152,Y,353,77,Y,288,55,Y,61,9,Y,305,95,Y,2112,102,Y,629,126,Y,2021
10,DE,Delaware,639,75,Y,603,146,Y,35,8,Y,72,49,Y,217,169,Y,137,113,Y,100,86,Y,83,58,Y,30,15,Y,130,70,Y,438,82,Y,56,70,Y,2021
11,DC,"Washington,
D.C.",6750,1180,Y,6455,2398,Y,286,94,Y,403,426,Y,2914,2004,Y,2127,1934,Y,761,1074,Y,462,702,Y,98,115,Y,2041,828,Y,3966,1756,Y,565,951,Y,2021
12,FL,Florida,41340,220,Y,34560,377,Y,6731,70,Y,4717,156,Y,12941,468,Y,9735,359,Y,6916,256,Y,5493,184,Y,1510,33,Y,8452,303,Y,20423,199,Y,11469,235,Y,2021
13,GA,Georgia,11820,131,Y,10910,250,Y,900,19,Y,1595,90,Y,4539,304,Y,2792,195,Y,1738,124,Y,984,73,Y,175,11,Y,4070,143,Y,6650,141,Y,827,95,Y,2021
15,HI,Hawaii,1100,90,Y,1046,170,Y,53,9,Y,115,58,Y,396,203,Y,288,151,Y,156,91,Y,108,59,Y,39,14,Y,21,86,Y,517,184,Y,131,131,Y,2021
16,ID,Idaho,849,54,Y,814,103,Y,35,4,Y,156,48,Y,310,125,Y,211,85,Y,107,50,Y,57,25,Y,11,3,N,19,160,Y,726,56,Y,95,50,Y,2021
17,IL,Illinois,17922,167,Y,16987,323,Y,924,17,Y,2034,103,Y,7548,439,Y,4696,279,Y,2169,137,Y,1212,73,Y,257,12,Y,2214,150,Y,11955,182,Y,3068,165,Y,2021
18,IN,Indiana,4235,74,Y,3932,140,Y,303,11,Y,679,60,Y,1704,191,Y,914,106,Y,543,66,Y,315,36,Y,82,7,Y,589,111,Y,3291,74,Y,266,62,Y,2021
19,IA,Iowa,1919,72,Y,1795,134,Y,123,9,Y,361,67,Y,743,187,Y,432,107,Y,203,56,Y,152,37,Y,31,5,Y,55,55,Y,1780,78,Y,50,31,Y,2021
20,KS,Kansas,1318,54,Y,1231,101,Y,86,7,Y,242,48,Y,543,143,Y,271,72,Y,145,44,Y,101,28,Y,19,4,Y,78,56,Y,1108,60,Y,116,40,Y,2021
21,KY,Kentucky,2210,58,Y,2040,110,Y,171,9,Y,285,41,Y,841,142,Y,518,92,Y,322,58,Y,186,31,Y,57,7,Y,253,82,Y,1872,59,Y,58,37,Y,2021
22,LA,Louisiana,3943,103,Y,3441,184,Y,500,25,Y,609,83,Y,1550,248,Y,955,157,Y,466,87,Y,271,46,Y,95,13,Y,1359,113,Y,2328,103,Y,206,85,Y,2021
23,ME,Maine,797,66,Y,757,128,Y,39,6,Y,122,66,Y,281,168,Y,154,93,Y,134,78,Y,87,41,Y,23,8,Y,23,126,Y,757,67,Y,10,45,N,2021
24,MD,Maryland,6075,117,Y,5535,221,Y,538,20,Y,869,94,Y,2549,309,Y,1464,176,Y,671,85,Y,417,50,Y,108,11,Y,2131,136,Y,3185,122,Y,480,86,Y,2021
25,MA,Massachusetts,10167,168,Y,9488,324,Y,673,22,Y,1573,144,Y,4176,424,Y,2202,245,Y,1182,135,Y,844,87,Y,193,16,Y,706,163,Y,7762,178,Y,1184,168,Y,2021
26,MI,Michigan,5910,69,Y,5472,130,Y,435,10,Y,916,59,Y,2480,188,Y,1274,105,Y,706,58,Y,434,31,Y,103,6,Y,935,82,Y,4546,70,Y,290,66,Y,2021
27,MN,Minnesota,5269,110,Y,5027,210,Y,236,10,Y,677,76,Y,2158,288,Y,1262,164,Y,650,98,Y,422,56,Y,98,10,Y,359,117,Y,4476,117,Y,231,88,Y,2021
28,MS,Mississippi,1430,58,Y,1216,103,Y,216,17,Y,293,60,Y,526,139,Y,293,80,Y,178,50,Y,106,28,Y,37,7,Y,689,76,Y,711,50,Y,22,28,Y,2021
29,MO,Missouri,4060,78,Y,3846,151,Y,208,8,Y,601,62,Y,1585,195,Y,901,115,Y,539,75,Y,375,46,Y,69,6,Y,628,108,Y,3139,76,Y,198,85,Y,2021
30,MT,Montana,360,38,Y,346,73,Y,14,3,Y,59,35,Y,142,99,Y,87,62,Y,43,36,Y,20,13,Y,10,5,N,5,99,N,327,40,Y,20,55,Y,2021
31,NE,Nebraska,973,60,Y,924,114,Y,47,6,Y,163,50,Y,397,157,Y,218,85,Y,113,52,Y,70,29,Y,16,5,Y,44,57,Y,831,65,Y,64,37,Y,2021
32,NV,Nevada,4708,177,Y,4073,305,Y,636,48,Y,400,88,Y,1427,314,Y,1227,285,Y,856,215,Y,637,162,Y,166,32,Y,349,141,Y,2867,216,Y,1232,172,Y,2021
33,NH,"New
Hampshire",821,68,Y,768,128,Y,57,9,Y,112,57,Y,306,172,Y,202,120,Y,99,56,Y,86,39,Y,19,7,Y,12,68,Y,768,71,Y,28,57,Y,2021
34,NJ,New Jersey,7351,94,Y,6940,181,Y,408,10,Y,1091,79,Y,3056,256,Y,1720,141,Y,844,69,Y,545,43,Y,101,6,Y,790,78,Y,4580,106,Y,1541,96,Y,2021
